Metric,Outbreak_Mean,Outbreak_Std,Control_Mean,Control_Std,P_Value,Is_Significant,Effect_Size
num_pigs_notLying_value_at_removal,8.842452061178752,1.9484591677283813,9.170981676859634,1.6028922631932752,0.4080046700434906,False,0.19750599250147613
num_pigs_notLying_1d_window_avg,9.005900048740049,1.8511823852308633,9.206307139689587,1.5963234307751792,0.5612758361345775,False,0.1221966640546496
num_pigs_notLying_3d_window_avg,9.127857036930797,1.6882692970407507,9.282533545146599,1.577250975303144,0.6345584188709987,False,0.0969364470061535
num_pigs_notLying_5d_window_avg,9.19167187018046,1.5026973166155908,9.285913324948107,1.5028773202201726,0.7647294759100003,False,0.06270855972747649
num_pigs_notLying_7d_window_avg,9.300267307420873,1.4886273196224453,9.287461836856666,1.4569814586732783,0.9691057875842617,False,0.008758133502597652
num_pigs_notLying_1d_window_slope,-0.34110884360618393,0.6873823708084401,-0.07372270503641903,0.5911479824012531,0.08770435604543927,False,0.4400160339657152
num_pigs_notLying_3d_window_slope,-0.08767336297405565,0.42249783541010594,-0.06435589719750721,0.4003910061838704,0.7168648029462443,False,0.057711886718179034
num_pigs_notLying_5d_window_slope,-0.07216298953116354,0.29580839532981534,-0.016353762563136216,0.33522024727831345,0.5660316061818486,False,0.1695333853947183
num_pigs_notLying_7d_window_slope,-0.09608247692435329,0.226666935197429,0.0011802530971144953,0.290587926668878,0.12737210526915424,False,0.3457880576017301
num_pigs_notLying_abs_change_1d,-0.341108843606184,0.6873823708084402,-0.07372270503641903,0.5911479824012533,0.08770435604543927,False,0.4400160339657151
num_pigs_notLying_abs_change_3d,-0.2953763689951311,1.2323475412068214,-0.14129556208907082,1.1254173561525842,0.40007143850462534,False,0.13476722940547373
num_pigs_notLying_abs_change_5d,-0.517811815833373,1.3391207747609768,-0.14483129180998075,1.4258187248512029,0.23540861682265346,False,0.26410965416624865
num_pigs_notLying_abs_change_7d,-0.7907822140687991,1.5849236621195206,-0.07519784686033307,1.6900040050053908,0.1393441609695488,False,0.4278568005383268
