pen,datespan,days_before_removal,lying_pigs,not_lying_pigs,group
Pen 1,211228_220119,-1,13.95998366013072,9.94704248366013,control
Pen 1,211228_220119,-3,12.737705870770306,11.180840431595739,control
Pen 1,211228_220119,-5,13.451290849673203,10.291519607843139,control
Pen 1,211228_220119,0,12.376789422773744,11.629692374905808,control
Pen 1,211228_220119,-1,15.291677337601707,9.94704248366013,control
Pen 1,211228_220119,-3,13.97815317353402,11.180840431595739,control
Pen 1,211228_220119,-5,14.704930703606948,10.291519607843139,control
Pen 1,211228_220119,0,15.821437686185584,11.629692374905808,control
Pen 1,211228_220119,-1,13.97815317353402,9.94704248366013,control
Pen 1,211228_220119,-3,14.704930703606948,11.180840431595739,control
Pen 1,211228_220119,-5,13.310565856729106,10.291519607843139,control
Pen 1,211228_220119,0,14.528352966570173,11.629692374905808,control
Pen 1,211228_220119,-1,14.535789339111362,9.94704248366013,control
Pen 1,211228_220119,-3,14.775152505446622,11.180840431595739,control
Pen 1,211228_220119,-5,13.06459635781843,10.291519607843139,control
Pen 1,211228_220119,0,13.97815317353402,11.629692374905808,control
Pen 1,211228_220119,-1,14.775152505446622,9.94704248366013,control
Pen 1,211228_220119,-3,13.06459635781843,11.180840431595739,control
Pen 1,211228_220119,-5,12.510587055262164,10.291519607843139,control
Pen 1,211228_220119,0,14.704930703606948,11.629692374905808,control
Pen 1,220726_220831,-1,16.776205966971435,7.247333863285572,control
Pen 1,220726_220831,-3,16.91087446418073,7.116151206302163,control
Pen 1,220726_220831,-5,16.444701661751036,7.599934647389165,control
Pen 1,220726_220831,-7,13.281622612620277,8.319655086039203,control
Pen 1,220726_220831,0,16.60917231206696,7.411240412269536,control
Pen 1,220726_220831,-1,13.350242354710327,7.247333863285572,control
Pen 1,220726_220831,-3,13.949195225801118,7.116151206302163,control
Pen 1,220726_220831,-5,15.567404101212064,7.599934647389165,control
Pen 1,220726_220831,-7,15.022511919865275,8.319655086039203,control
Pen 1,220726_220831,0,12.715365811500453,7.411240412269536,control
Pen 1,220726_220831,-1,12.715365811500453,7.247333863285572,control
Pen 1,220726_220831,-3,13.969207067194082,7.116151206302163,control
Pen 1,220726_220831,-5,14.685734632506401,7.599934647389165,control
Pen 1,220726_220831,-7,15.818803967986433,8.319655086039203,control
Pen 1,220726_220831,0,13.281622612620277,7.411240412269536,control
Pen 1,220726_220831,-1,17.85027906502937,7.247333863285572,control
Pen 1,220726_220831,-3,16.593448761409174,7.116151206302163,control
Pen 1,220726_220831,-5,16.5933509848298,7.599934647389165,control
Pen 1,220726_220831,-7,16.776205966971435,8.319655086039203,control
Pen 1,220726_220831,0,17.501127697561646,7.411240412269536,control
Pen 1,220726_220831,-1,17.422017625940658,7.247333863285572,control
Pen 1,220726_220831,-3,17.85027906502937,7.116151206302163,control
Pen 1,220726_220831,-5,16.593448761409174,7.599934647389165,control
Pen 1,220726_220831,-7,16.5933509848298,8.319655086039203,control
Pen 1,220726_220831,0,17.06513398667512,7.411240412269536,control
Pen 2,211227_220119,-1,10.629362294089583,10.592055264460221,control
Pen 2,211227_220119,-3,11.849488017429195,8.836830065359477,control
Pen 2,211227_220119,-5,10.08100894362358,10.310891330205827,control
Pen 2,211227_220119,-7,8.628714292243705,11.68078713225772,control
Pen 2,211227_220119,0,10.494634625244268,10.850214305854559,control
Pen 2,211227_220119,-1,12.44917211328976,10.592055264460221,control
Pen 2,211227_220119,-3,11.070689782428886,8.836830065359477,control
Pen 2,211227_220119,-5,10.494634625244268,10.310891330205827,control
Pen 2,211227_220119,-7,10.673795845287842,11.68078713225772,control
Pen 2,211227_220119,0,12.23305380306702,10.850214305854559,control
Pen 2,211227_220119,-1,11.13699697197137,10.592055264460221,control
Pen 2,211227_220119,-3,10.629362294089583,8.836830065359477,control
Pen 2,211227_220119,-5,11.849488017429195,10.310891330205827,control
Pen 2,211227_220119,-7,10.08100894362358,11.68078713225772,control
Pen 2,211227_220119,0,11.070689782428886,10.850214305854559,control
Pen 2,211227_220119,-1,10.673795845287842,10.592055264460221,control
Pen 2,211227_220119,-3,10.6242660242336,8.836830065359477,control
Pen 2,211227_220119,-5,9.594788900050595,10.310891330205827,control
Pen 2,211227_220119,-7,7.930538758626994,11.68078713225772,control
Pen 2,211227_220119,0,10.629362294089583,10.850214305854559,control
Pen 2,211227_220119,-1,11.579077581993156,10.592055264460221,control
Pen 2,211227_220119,-3,11.13699697197137,8.836830065359477,control
Pen 2,211227_220119,-5,10.629362294089583,10.310891330205827,control
Pen 2,211227_220119,-7,11.849488017429195,11.68078713225772,control
Pen 2,211227_220119,0,12.44917211328976,10.850214305854559,control
Pen 2,220725_220831,-1,11.033404781767905,7.092506891738577,control
Pen 2,220725_220831,-3,8.497791953887203,6.766597737512519,control
Pen 2,220725_220831,-5,5.839655625820787,8.24938931475842,control
Pen 2,220725_220831,-7,5.347609194423634,10.01010787072917,control
Pen 2,220725_220831,0,11.170058774405666,6.822993911398709,control
Pen 2,220725_220831,-1,5.014499504813088,7.092506891738577,control
Pen 2,220725_220831,-3,5.068009426705507,6.766597737512519,control
Pen 2,220725_220831,-5,3.981786686485073,8.24938931475842,control
Pen 2,220725_220831,-7,3.331202272479628,10.01010787072917,control
Pen 2,220725_220831,0,4.871017038536728,6.822993911398709,control
Pen 2,220725_220831,-1,8.497791953887203,7.092506891738577,control
Pen 2,220725_220831,-3,5.839655625820787,6.766597737512519,control
Pen 2,220725_220831,-5,5.347609194423634,8.24938931475842,control
Pen 2,220725_220831,-7,4.871017038536728,10.01010787072917,control
Pen 2,220725_220831,0,10.483663031741159,6.822993911398709,control
Pen 2,220725_220831,-1,10.483663031741159,7.092506891738577,control
Pen 2,220725_220831,-3,7.102513529997665,6.766597737512519,control
Pen 2,220725_220831,-5,5.292639714513992,8.24938931475842,control
Pen 2,220725_220831,-7,4.78264523065555,10.01010787072917,control
Pen 2,220725_220831,0,11.033404781767905,6.822993911398709,control
Pen 2,220725_220831,-1,5.545848139115775,7.092506891738577,control
Pen 2,220725_220831,-3,4.623976466794388,6.766597737512519,control
Pen 2,220725_220831,-5,4.172117273993332,8.24938931475842,control
Pen 2,220725_220831,-7,3.487554150094912,10.01010787072917,control
Pen 2,220725_220831,0,5.014499504813088,6.822993911398709,control
Pen 2,221219_230125,-1,9.625768910840684,8.235321150970476,control
Pen 2,221219_230125,-3,9.53206613936772,7.920563557208556,control
Pen 2,221219_230125,-5,8.985542987114533,7.381085578021899,control
Pen 2,221219_230125,-7,8.691732152504821,6.834501170205891,control
Pen 2,221219_230125,0,9.590806346746508,8.11585036778045,control
Pen 2,221219_230125,-1,8.481272534929646,8.235321150970476,control
Pen 2,221219_230125,-3,8.529557543755502,7.920563557208556,control
Pen 2,221219_230125,-5,6.297833298625299,7.381085578021899,control
Pen 2,221219_230125,-7,4.944532904649548,6.834501170205891,control
Pen 2,221219_230125,0,8.985542987114533,8.11585036778045,control
Pen 2,221219_230125,-1,9.590806346746508,8.235321150970476,control
Pen 2,221219_230125,-3,9.058806751011254,7.920563557208556,control
Pen 2,221219_230125,-5,9.25411641661802,7.381085578021899,control
Pen 2,221219_230125,-7,8.481272534929646,6.834501170205891,control
Pen 2,221219_230125,0,10.10223436347257,8.11585036778045,control
Pen 2,221219_230125,-1,11.207181710090033,8.235321150970476,control
Pen 2,221219_230125,-3,11.58474733300197,7.920563557208556,control
Pen 2,221219_230125,-5,11.353309365909872,7.381085578021899,control
Pen 2,221219_230125,-7,10.598135345011661,6.834501170205891,control
Pen 2,221219_230125,0,11.325164192347449,8.11585036778045,control
Pen 2,221219_230125,-1,11.847692930450876,8.235321150970476,control
Pen 2,221219_230125,-3,11.207181710090033,7.920563557208556,control
Pen 2,221219_230125,-5,11.58474733300197,7.381085578021899,control
Pen 2,221219_230125,-7,11.353309365909872,6.834501170205891,control
Pen 2,221219_230125,0,12.100334681120215,8.11585036778045,control
Pen 2,230227_230405,-1,12.443273676950753,6.429955467777876,control
Pen 2,230227_230405,-3,12.010172369115812,6.845038033985155,control
Pen 2,230227_230405,-5,12.020704557008798,6.972249570712907,control
Pen 2,230227_230405,-7,12.099143330380182,7.039377418422262,control
Pen 2,230227_230405,0,12.206501021712318,6.726871197360572,control
Pen 2,230227_230405,-1,10.681302021162045,6.429955467777876,control
Pen 2,230227_230405,-3,10.607047015748089,6.845038033985155,control
Pen 2,230227_230405,-5,9.777742579009617,6.972249570712907,control
Pen 2,230227_230405,-7,9.260157785119668,7.039377418422262,control
Pen 2,230227_230405,0,11.261510551967731,6.726871197360572,control
Pen 2,230227_230405,-1,7.116203786583259,6.429955467777876,control
Pen 2,230227_230405,-3,6.825961949828465,6.845038033985155,control
Pen 2,230227_230405,-5,6.094990977772923,6.972249570712907,control
Pen 2,230227_230405,-7,4.882440788689521,7.039377418422262,control
Pen 2,230227_230405,0,7.765927718621523,6.726871197360572,control
Pen 2,230227_230405,-1,12.010172369115812,6.429955467777876,control
Pen 2,230227_230405,-3,12.020704557008798,6.845038033985155,control
Pen 2,230227_230405,-5,12.099143330380182,6.972249570712907,control
Pen 2,230227_230405,-7,11.261510551967731,7.039377418422262,control
Pen 2,230227_230405,0,12.069452961669848,6.726871197360572,control
Pen 2,230227_230405,-1,12.020704557008798,6.429955467777876,control
Pen 2,230227_230405,-3,12.099143330380182,6.845038033985155,control
Pen 2,230227_230405,-5,11.261510551967731,6.972249570712907,control
Pen 2,230227_230405,-7,10.744064934357466,7.039377418422262,control
Pen 2,230227_230405,0,11.839525544307193,6.726871197360572,control
Pen 3,211222_220119,-1,10.346015305970093,6.963016127263482,control
Pen 3,211222_220119,-3,10.475707245936235,6.638439743496544,control
Pen 3,211222_220119,-5,10.301546886966817,6.826071392116418,control
Pen 3,211222_220119,-7,10.239030547097533,7.005145466190491,control
Pen 3,211222_220119,0,10.879156057974486,6.267942096962894,control
Pen 3,211222_220119,-1,10.239030547097533,6.963016127263482,control
