Metric,Value
comparison_data_metrics_posture_diff_control_count,"[81, 85, 90, 95, 99, 100, 100, 100, 100, 100, 100]"
comparison_data_metrics_upright_tails_outbreak_mean,"[0.8665662813959859, 0.8623590516776207, 0.8528219071543429, 0.838260979269835, 0.814821015039565, 0.780851787899803, 0.7440238466897449, 0.686120423838019, 0.6207756581124073, 0.5427236382023977, 0.4819672649470025]"
comparison_data_metrics_upright_tails_outbreak_std,"[0.07006071656431762, 0.07734623214368438, 0.08386549860879752, 0.09043061429938104, 0.11024639814962676, 0.14506717466819924, 0.1849934836990952, 0.19969288714772915, 0.19342953141188554, 0.18904104558578622, 0.18332162713654138]"
comparison_data_metrics_upright_tails_outbreak_count,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]"
comparison_data_metrics_upright_tails_control_mean,"[0.8595547839498711, 0.8639140474495207, 0.8644829353285696, 0.8641631200224267, 0.8651354271785745, 0.8674827171185501, 0.868768608310479, 0.8684930006310574, 0.8683269760016766, 0.868012868062237, 0.8656853039139704]"
comparison_data_metrics_upright_tails_control_std,"[0.052806624990970476, 0.05430500275410402, 0.051515430871731945, 0.050919714295263735, 0.049159122796732, 0.049795037944040256, 0.04964719900349948, 0.051785478552364345, 0.0511076972728817, 0.052130616273062015, 0.055739113463859825]"
comparison_data_metrics_upright_tails_control_count,"[81, 85, 90, 95, 99, 100, 100, 100, 100, 100, 100]"
comparison_data_metrics_hanging_tails_outbreak_mean,"[0.1334337186040141, 0.1376409483223792, 0.14717809284565717, 0.16173902073016497, 0.1851789849604349, 0.219148212100197, 0.25597615331025514, 0.31387957616198103, 0.3792243418875927, 0.45727636179760234, 0.5180327350529976]"
comparison_data_metrics_hanging_tails_outbreak_std,"[0.07006071656431757, 0.0773462321436844, 0.08386549860879755, 0.09043061429938104, 0.11024639814962675, 0.1450671746681992, 0.1849934836990952, 0.1996928871477292, 0.1934295314118855, 0.18904104558578622, 0.18332162713654138]"
comparison_data_metrics_hanging_tails_outbreak_count,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]"
comparison_data_metrics_hanging_tails_control_mean,"[0.14044521605012883, 0.1360859525504794, 0.13551706467143038, 0.13583687997757338, 0.13486457282142553, 0.13251728288144984, 0.13123139168952105, 0.1315069993689426, 0.13167302399832337, 0.13198713193776304, 0.13431469608602967]"
comparison_data_metrics_hanging_tails_control_std,"[0.05280662499097046, 0.05430500275410403, 0.05151543087173195, 0.050919714295263714, 0.04915912279673196, 0.04979503794404023, 0.04964719900349947, 0.051785478552364345, 0.05110769727288173, 0.052130616273062015, 0.05573911346385982]"
comparison_data_metrics_hanging_tails_control_count,"[81, 85, 90, 95, 99, 100, 100, 100, 100, 100, 100]"
change_statistics_upright_7d_change,-0.3562937143228325
change_statistics_hanging_7d_change,0.3562937143228325
change_statistics_diff_7d_change,-0.7125874286456652
change_statistics_upright_3d_change,-0.20415315889101648
change_statistics_hanging_3d_change,0.20415315889101648
change_statistics_diff_3d_change,-0.4083063177820331
contribution_statistics_upright_contribution_7d,-49.99999999999999
contribution_statistics_hanging_contribution_7d,-49.99999999999999
contribution_statistics_primary_driver_7d,hanging
contribution_statistics_upright_contribution_3d,-49.999999999999986
contribution_statistics_hanging_contribution_3d,-49.999999999999986
contribution_statistics_primary_driver_3d,hanging
