Metric,Value
comparison_data_metrics_hanging_tails_control_std,"[0.05264764547963282, 0.05222146229244835, 0.05262703495759484, 0.05544429240543855, 0.05539872879012055, 0.062406965580745606, 0.06002092605415653, 0.060101563078864634, 0.05772658241883631, 0.05915739698714421, 0.057446442893466905]"
comparison_data_metrics_hanging_tails_control_count,"[74, 79, 85, 89, 92, 100, 100, 100, 100, 100, 100]"
change_statistics_upright_7d_change,-0.3562937143228325
change_statistics_hanging_7d_change,0.3562937143228325
change_statistics_diff_7d_change,-0.7125874286456652
change_statistics_upright_3d_change,-0.20415315889101648
change_statistics_hanging_3d_change,0.20415315889101648
change_statistics_diff_3d_change,-0.4083063177820331
contribution_statistics_upright_contribution_7d,-49.99999999999999
contribution_statistics_hanging_contribution_7d,-49.99999999999999
contribution_statistics_primary_driver_7d,hanging
contribution_statistics_upright_contribution_3d,-49.999999999999986
contribution_statistics_hanging_contribution_3d,-49.999999999999986
contribution_statistics_primary_driver_3d,hanging
