Metric,Value
trajectory_comparison_control_mean_values,"[0.7009730059156115, 0.7021820428188957, 0.7179771510652675, 0.7269806793725541, 0.7292079847733972]"
trajectory_comparison_control_std_values,"[0.12854703713041044, 0.1270263992273093, 0.12215973362484356, 0.11650381264650743, 0.11438364696342014]"
trajectory_comparison_control_sample_counts,"[88, 100, 100, 100, 100]"
change_comparison_outbreak_7d_count,20
change_comparison_outbreak_7d_mean,-0.7125874286456652
change_comparison_outbreak_7d_median,-0.7569011764456728
change_comparison_outbreak_7d_std,0.34560014612024226
change_comparison_outbreak_7d_min,-1.3536354729568967
change_comparison_outbreak_7d_max,-0.08710435134971062
change_comparison_outbreak_7d_percentiles_25,-0.96961307115937
change_comparison_outbreak_7d_percentiles_75,-0.48643561870163654
change_comparison_outbreak_5d_count,20
change_comparison_outbreak_5d_mean,-0.597769045905601
change_comparison_outbreak_5d_median,-0.6875719838764268
change_comparison_outbreak_5d_std,0.35735752970746915
change_comparison_outbreak_5d_min,-1.1351246186829258
change_comparison_outbreak_5d_max,-0.07108748412819291
change_comparison_outbreak_5d_percentiles_25,-0.8718725614998861
change_comparison_outbreak_5d_percentiles_75,-0.23675987670931622
change_comparison_outbreak_3d_count,20
change_comparison_outbreak_3d_mean,-0.408306317782033
change_comparison_outbreak_3d_median,-0.49117555545635844
change_comparison_outbreak_3d_std,0.3310233341433414
change_comparison_outbreak_3d_min,-0.9464642514826626
change_comparison_outbreak_3d_max,0.055446527836605974
change_comparison_outbreak_3d_percentiles_25,-0.6968035515612075
change_comparison_outbreak_3d_percentiles_75,-0.06957064899765589
change_comparison_outbreak_1d_count,20
change_comparison_outbreak_1d_mean,-0.12151274651079044
change_comparison_outbreak_1d_median,-0.10426955874801808
change_comparison_outbreak_1d_std,0.12070723611001392
change_comparison_outbreak_1d_min,-0.3261593273576109
change_comparison_outbreak_1d_max,0.04280345886322723
change_comparison_outbreak_1d_percentiles_25,-0.21190667117360742
change_comparison_outbreak_1d_percentiles_75,-0.01943410755305415
change_comparison_control_7d_count,88
change_comparison_control_7d_mean,0.03126222913565142
change_comparison_control_7d_median,0.037993607848522515
change_comparison_control_7d_std,0.112352904136759
change_comparison_control_7d_min,-0.36523810332852064
change_comparison_control_7d_max,0.316754236375451
change_comparison_control_7d_percentiles_25,-0.00878492432085251
change_comparison_control_7d_percentiles_75,0.09166184799478903
change_comparison_control_5d_count,100
change_comparison_control_5d_mean,0.027025941954501524
change_comparison_control_5d_median,0.020971182299061475
change_comparison_control_5d_std,0.08977724914033733
change_comparison_control_5d_min,-0.3390536015485353
change_comparison_control_5d_max,0.24216750248040697
change_comparison_control_5d_percentiles_25,-0.011231164825235174
change_comparison_control_5d_percentiles_75,0.06481452924320655
change_comparison_control_3d_count,100
change_comparison_control_3d_mean,0.011230833708129878
change_comparison_control_3d_median,0.007430775149281921
change_comparison_control_3d_std,0.06962011177573023
change_comparison_control_3d_min,-0.3444623145570274
change_comparison_control_3d_max,0.1878269940862194
change_comparison_control_3d_percentiles_25,-0.014038758508347265
change_comparison_control_3d_percentiles_75,0.04210950404172531
change_comparison_control_1d_count,100
change_comparison_control_1d_mean,0.0022273054008431527
change_comparison_control_1d_median,0.003250548713810364
change_comparison_control_1d_std,0.03150787982582792
change_comparison_control_1d_min,-0.16612103565197162
change_comparison_control_1d_max,0.06357147444559752
change_comparison_control_1d_percentiles_25,-0.009957714587416927
change_comparison_control_1d_percentiles_75,0.01788801004247048
slope_comparison_outbreak_7d_count,20
slope_comparison_outbreak_7d_mean,-0.10623019003081806
slope_comparison_outbreak_7d_median,-0.11652766671225534
slope_comparison_outbreak_7d_std,0.06048733612839679
slope_comparison_outbreak_7d_min,-0.21735011931994708
slope_comparison_outbreak_7d_max,-0.018707431443678067
slope_comparison_outbreak_7d_percentiles_25,-0.1383550341560349
slope_comparison_outbreak_7d_percentiles_75,-0.04012797035765134
slope_comparison_outbreak_5d_count,20
slope_comparison_outbreak_5d_mean,-0.12668805560657254
slope_comparison_outbreak_5d_median,-0.1263160973612768
slope_comparison_outbreak_5d_std,0.08683127468007293
slope_comparison_outbreak_5d_min,-0.2793384721363756
slope_comparison_outbreak_5d_max,0.002345347406309405
slope_comparison_outbreak_5d_percentiles_25,-0.1995448840219558
