Metric,Value
change_comparison_outbreak_5d_std,0.35735752970746915
change_comparison_outbreak_5d_min,-1.1351246186829258
change_comparison_outbreak_5d_max,-0.07108748412819291
change_comparison_outbreak_5d_percentiles_25,-0.8718725614998861
change_comparison_outbreak_5d_percentiles_75,-0.23675987670931622
change_comparison_outbreak_3d_count,20
change_comparison_outbreak_3d_mean,-0.408306317782033
change_comparison_outbreak_3d_median,-0.49117555545635844
change_comparison_outbreak_3d_std,0.3310233341433414
change_comparison_outbreak_3d_min,-0.9464642514826626
change_comparison_outbreak_3d_max,0.055446527836605974
change_comparison_outbreak_3d_percentiles_25,-0.6968035515612075
change_comparison_outbreak_3d_percentiles_75,-0.06957064899765589
change_comparison_outbreak_1d_count,20
change_comparison_outbreak_1d_mean,-0.12151274651079044
change_comparison_outbreak_1d_median,-0.10426955874801808
change_comparison_outbreak_1d_std,0.12070723611001392
change_comparison_outbreak_1d_min,-0.3261593273576109
change_comparison_outbreak_1d_max,0.04280345886322723
change_comparison_outbreak_1d_percentiles_25,-0.21190667117360742
change_comparison_outbreak_1d_percentiles_75,-0.01943410755305415
change_comparison_control_7d_count,89
change_comparison_control_7d_mean,0.01362337173272387
change_comparison_control_7d_median,0.018362143529372932
change_comparison_control_7d_std,0.09837790595879821
change_comparison_control_7d_min,-0.37749827957324517
change_comparison_control_7d_max,0.30526589196737125
change_comparison_control_7d_percentiles_25,-0.02435150492373961
change_comparison_control_7d_percentiles_75,0.06991935550001882
change_comparison_control_5d_count,100
change_comparison_control_5d_mean,0.012860770649734734
change_comparison_control_5d_median,0.01732774363394529
change_comparison_control_5d_std,0.08647459823693669
change_comparison_control_5d_min,-0.3253317238367785
change_comparison_control_5d_max,0.23045504303564518
change_comparison_control_5d_percentiles_25,-0.021354446331305316
change_comparison_control_5d_percentiles_75,0.061041574207118005
change_comparison_control_3d_count,100
change_comparison_control_3d_mean,0.004112274974357395
change_comparison_control_3d_median,0.005477026739216823
change_comparison_control_3d_std,0.056022732684238956
change_comparison_control_3d_min,-0.1804298009532444
change_comparison_control_3d_max,0.1505820853147412
change_comparison_control_3d_percentiles_25,-0.023894462073633133
change_comparison_control_3d_percentiles_75,0.03555343484928686
change_comparison_control_1d_count,100
change_comparison_control_1d_mean,-0.0014610482485507338
change_comparison_control_1d_median,0.0035111860268915995
change_comparison_control_1d_std,0.025808283102851957
change_comparison_control_1d_min,-0.11326953837501569
change_comparison_control_1d_max,0.060153879035886204
change_comparison_control_1d_percentiles_25,-0.012324324058487268
change_comparison_control_1d_percentiles_75,0.01107339662764964
slope_comparison_outbreak_7d_count,20
slope_comparison_outbreak_7d_mean,-0.10623019003081806
slope_comparison_outbreak_7d_median,-0.11652766671225534
slope_comparison_outbreak_7d_std,0.06048733612839679
slope_comparison_outbreak_7d_min,-0.21735011931994708
slope_comparison_outbreak_7d_max,-0.018707431443678067
slope_comparison_outbreak_7d_percentiles_25,-0.1383550341560349
slope_comparison_outbreak_7d_percentiles_75,-0.04012797035765134
slope_comparison_outbreak_5d_count,20
slope_comparison_outbreak_5d_mean,-0.12668805560657254
