Metric,Value
comparison_data_metrics_hanging_tails_control_std,"[0.06439800078298288, 0.06219169800112464, 0.06272854842941158, 0.06427351856520519, 0.0631020284820404, 0.06351319961365463, 0.06201194310645919, 0.061079866812421786, 0.05959782404614668, 0.05825190632325372, 0.057191823481710063]"
comparison_data_metrics_hanging_tails_control_count,"[64, 73, 80, 88, 93, 100, 100, 100, 100, 100, 100]"
change_statistics_upright_7d_change,-0.3562937143228325
change_statistics_hanging_7d_change,0.3562937143228325
change_statistics_diff_7d_change,-0.7125874286456652
change_statistics_upright_3d_change,-0.20415315889101648
change_statistics_hanging_3d_change,0.20415315889101648
change_statistics_diff_3d_change,-0.4083063177820331
contribution_statistics_upright_contribution_7d,-49.99999999999999
contribution_statistics_hanging_contribution_7d,-49.99999999999999
contribution_statistics_primary_driver_7d,hanging
contribution_statistics_upright_contribution_3d,-49.999999999999986
contribution_statistics_hanging_contribution_3d,-49.999999999999986
contribution_statistics_primary_driver_3d,hanging
