pen,datespan,days_before_removal,lying_pigs,not_lying_pigs,group
Pen 1,220726_220831,-7,13.949195225801118,7.599934647389165,control
Pen 1,220726_220831,0,16.455766330099742,7.77012544836715,control
Pen 1,220726_220831,-1,17.422017625940658,7.429567351065647,control
Pen 1,220726_220831,-3,17.85027906502937,7.247333863285572,control
Pen 1,220726_220831,-5,16.593448761409174,7.116151206302163,control
Pen 1,220726_220831,-7,16.5933509848298,7.599934647389165,control
Pen 1,220726_220831,0,17.06513398667512,7.77012544836715,control
Pen 1,220726_220831,-1,17.501127697561646,7.429567351065647,control
Pen 1,220726_220831,-3,17.15185148834369,7.247333863285572,control
Pen 1,220726_220831,-5,16.256993522031607,7.116151206302163,control
Pen 1,220726_220831,-7,16.60917231206696,7.599934647389165,control
Pen 1,220726_220831,0,17.422017625940658,7.77012544836715,control
Pen 2,211227_220119,-1,11.579077581993156,10.126920216208902,control
Pen 2,211227_220119,-3,11.13699697197137,10.212388625794958,control
Pen 2,211227_220119,-5,10.629362294089583,10.592055264460221,control
Pen 2,211227_220119,-7,11.849488017429195,8.836830065359477,control
Pen 2,211227_220119,0,12.44917211328976,9.405882352941177,control
Pen 2,211227_220119,-1,10.673795845287842,10.126920216208902,control
Pen 2,211227_220119,-3,10.6242660242336,10.212388625794958,control
Pen 2,211227_220119,-5,9.594788900050595,10.592055264460221,control
Pen 2,211227_220119,-7,7.930538758626994,8.836830065359477,control
Pen 2,211227_220119,0,10.629362294089583,9.405882352941177,control
Pen 2,211227_220119,-1,13.452275469690619,10.126920216208902,control
Pen 2,211227_220119,-3,12.068849010038699,10.212388625794958,control
Pen 2,211227_220119,-5,12.44917211328976,10.592055264460221,control
Pen 2,211227_220119,-7,11.070689782428886,8.836830065359477,control
Pen 2,211227_220119,0,14.044933421760339,9.405882352941177,control
Pen 2,211227_220119,-1,12.200711755136737,10.126920216208902,control
Pen 2,211227_220119,-3,12.23305380306702,10.212388625794958,control
Pen 2,211227_220119,-5,11.579077581993156,10.592055264460221,control
Pen 2,211227_220119,-7,11.13699697197137,8.836830065359477,control
Pen 2,211227_220119,0,13.452275469690619,9.405882352941177,control
Pen 2,211227_220119,-1,12.44917211328976,10.126920216208902,control
Pen 2,211227_220119,-3,11.070689782428886,10.212388625794958,control
Pen 2,211227_220119,-5,10.494634625244268,10.592055264460221,control
Pen 2,211227_220119,-7,10.673795845287842,8.836830065359477,control
Pen 2,211227_220119,0,12.23305380306702,9.405882352941177,control
Pen 2,220725_220831,-1,4.78264523065555,9.91799458890926,control
Pen 2,220725_220831,-3,5.014499504813088,9.136585506854374,control
Pen 2,220725_220831,-5,5.068009426705507,8.76145186030472,control
Pen 2,220725_220831,-7,3.981786686485073,8.497675035874904,control
Pen 2,220725_220831,0,5.347609194423634,10.01010787072917,control
Pen 2,220725_220831,-1,10.319302113959443,9.91799458890926,control
Pen 2,220725_220831,-3,11.033404781767905,9.136585506854374,control
Pen 2,220725_220831,-5,8.497791953887203,8.76145186030472,control
Pen 2,220725_220831,-7,5.839655625820787,8.497675035874904,control
Pen 2,220725_220831,0,9.727365883461589,10.01010787072917,control
Pen 2,220725_220831,-1,9.37535494301681,9.91799458890926,control
Pen 2,220725_220831,-3,9.727365883461589,9.136585506854374,control
Pen 2,220725_220831,-5,11.170058774405666,8.76145186030472,control
Pen 2,220725_220831,-7,10.483663031741159,8.497675035874904,control
Pen 2,220725_220831,0,9.47324079961126,10.01010787072917,control
Pen 2,220725_220831,-1,10.43678179092297,9.91799458890926,control
Pen 2,220725_220831,-3,9.47324079961126,9.136585506854374,control
Pen 2,220725_220831,-5,9.409893731716108,8.76145186030472,control
Pen 2,220725_220831,-7,10.319302113959443,8.497675035874904,control
Pen 2,220725_220831,0,11.64948342265979,10.01010787072917,control
Pen 2,220725_220831,-1,11.64948342265979,9.91799458890926,control
Pen 2,220725_220831,-3,9.431185510055965,9.136585506854374,control
Pen 2,220725_220831,-5,9.37535494301681,8.76145186030472,control
Pen 2,220725_220831,-7,9.727365883461589,8.497675035874904,control
Pen 2,220725_220831,0,12.575570513361269,10.01010787072917,control
Pen 2,221219_230125,-1,9.590806346746508,8.11585036778045,control
Pen 2,221219_230125,-3,9.058806751011254,8.416525676607346,control
Pen 2,221219_230125,-5,9.25411641661802,7.5481973995255585,control
Pen 2,221219_230125,-7,8.481272534929646,7.319249298447599,control
