Metric,Outbreak_Mean,Outbreak_Std,Control_Mean,Control_Std,P_Value,Is_Significant,Effect_Size
num_pigs_lying_value_at_removal,12.062715645970641,3.14095732419379,11.163274770396477,3.565415392563051,0.4160308858559063,False,0.25694283588943134
num_pigs_lying_1d_window_avg,12.03621960565236,3.073932079851621,11.031895042220167,3.565810600007216,0.2828797606663025,False,0.28766543838396846
num_pigs_lying_3d_window_avg,12.062702365799629,3.0193038630985307,10.82548773152749,3.5461005875594265,0.18672311758537585,False,0.3568865653963297
num_pigs_lying_5d_window_avg,12.023028949760251,3.0094482256418256,10.672294709106536,3.4840142369788545,0.14014411648225134,False,0.3958703334272779
num_pigs_lying_7d_window_avg,11.905675714423811,3.0129244131753423,10.527549249328615,3.4538999802867343,0.12562392108685633,False,0.4069139780172061
num_pigs_lying_1d_window_slope,0.05529608414249905,0.6405862485296459,0.27418378054186643,0.555122231252124,0.22717552053120682,False,0.3841820274514983
num_pigs_lying_3d_window_slope,-0.0308157993257406,0.4555845840402296,0.19993682911730593,0.45225455585540714,0.029299490474708142,True,0.5096212478559352
num_pigs_lying_5d_window_slope,0.029159330581827923,0.2789830908736192,0.1609542273760157,0.4128997952106493,0.09306117905118391,False,0.33414847421060484
num_pigs_lying_7d_window_slope,0.08771402826456315,0.17451104785639296,0.12724051151833538,0.3867928879014331,0.21652035694644167,False,0.10944889425634616
num_pigs_lying_abs_change_1d,0.05529608414249894,0.6405862485296461,0.2741837805418665,0.555122231252124,0.22717552053120682,False,0.3841820274514986
num_pigs_lying_abs_change_3d,-0.04490830525897995,1.3353427248935674,0.6271396980875731,1.2606159693199375,0.033159987458847726,True,0.5279475735481756
num_pigs_lying_abs_change_5d,0.1772511329099237,1.2420457577202217,0.863305355534719,1.7446781652257055,0.03942503303260748,True,0.4098363521002227
num_pigs_lying_abs_change_7d,0.6193530214350172,1.3765385648560156,1.3294756375542511,1.7905051662733635,0.03505297455810122,True,0.41199188112672974
