Metric,Outbreak_Mean,Outbreak_Std,Control_Mean,Control_Std,P_Value,Is_Significant,Effect_Size
activity_value_at_removal,0.5375850206265215,0.15781936492810966,0.5673933448747159,0.1379667651677662,0.26436932457978757,False,0.21088035673680716
activity_1d_window_avg,0.5490493103662347,0.14941510079936313,0.5761336625945677,0.13831904001529005,0.3544485219706156,False,0.19323186746169027
activity_3d_window_avg,0.5530866882505926,0.13005896855154045,0.5881673774325301,0.13497924467599345,0.2139136913479729,False,0.26140762240389703
activity_5d_window_avg,0.5500778929218272,0.10939981192473146,0.5935554285397983,0.1265517823024624,0.10760572917647515,False,0.3507654707128856
activity_7d_window_avg,0.5564216845147,0.10343129631499888,0.599705093481895,0.12183614241630918,0.09583640096834105,False,0.36352764898307854
activity_1d_window_slope,-0.02392547423940123,0.06348287009732331,-0.018240663067516406,0.053315914240740066,0.5708066346376587,False,0.10321031717664036
activity_3d_window_slope,-0.0009670139391958023,0.04723744783404393,-0.011055473425124978,0.03188902515080387,0.47913177359263603,False,0.2897284957922743
activity_5d_window_slope,0.0019638513823336855,0.032205420386881886,-0.006488728102716172,0.026213784100264762,0.14204643451110208,False,0.3099860487608746
activity_7d_window_slope,-0.003718071695820179,0.019477175209101114,-0.005976581979917807,0.020708188942671468,0.5285375609922196,False,0.1100908676235775
activity_abs_change_1d,-0.02392547423940123,0.06348287009732335,-0.018240663067516413,0.05331591424074007,0.5708066346376587,False,0.10321031717664021
activity_abs_change_3d,-0.00600877305426876,0.12732111969494816,-0.03405248278702543,0.09137761237627891,0.5471256355486248,False,0.2859877920889149
activity_abs_change_5d,-0.005539184169968986,0.13061296233442363,-0.04139875981560444,0.10952418775599496,0.2525031676414763,False,0.31682113691744196
activity_abs_change_7d,-0.05188109323075962,0.12210879322852145,-0.057321710498357326,0.1079196657574507,0.8587604520300711,False,0.049193178072215314
