days_before_removal,lying_p_value,lying_effect_size,not_lying_p_value,not_lying_effect_size,lying_outbreak_mean,lying_control_mean,not_lying_outbreak_mean,not_lying_control_mean
-7,0.3355496704259333,0.3251334879916883,0.3574586798028583,0.23097433703765308,11.443362624535624,10.278486814903037,9.633234275247553,9.250566906776593
-5,0.06764806942963296,0.4625772530640509,0.7538420155068238,0.00035458746210207683,11.885464513060718,10.299969414861756,9.360263877012127,9.359650726532138
-3,0.05499861046480785,0.4554407576235856,0.2610359291622959,0.2594253851423049,12.10762395122962,10.536135072308902,9.137828430173883,9.567046102864548
-1,0.2139136913479729,0.3190297244248245,0.20591446133319258,0.2531550241862929,12.00741956182814,10.88909098985461,9.183560904784937,9.619911689159304
0,0.4160308858559063,0.25694283588943134,0.19356220819485792,0.3732172303327961,12.062715645970641,11.163274770396477,8.842452061178752,9.456374806389823
