pen,datespan,days_before_removal,lying_pigs,not_lying_pigs,group
Pen 3,221003_221106,-3,13.69454539932429,10.284562898985703,outbreak
Pen 3,221003_221106,-5,12.08473993332638,11.88345872767402,outbreak
Pen 3,221003_221106,-7,12.126415097699365,11.88115017992884,outbreak
Pen 3,221003_221106,0,10.295877397118169,12.358329778253811,outbreak
Pen 3,230515_230621,-1,15.139930941649766,8.64362530451863,outbreak
Pen 3,230515_230621,-3,15.05264481600284,8.974457891691733,outbreak
Pen 3,230515_230621,-5,13.929759252032952,10.079381467493647,outbreak
Pen 3,230515_230621,-7,12.58601635227553,11.448749009301288,outbreak
Pen 3,230515_230621,0,15.919739835230772,7.919955448360533,outbreak
Pen 4,221003_221106,-1,12.610327066558076,5.858353435766774,outbreak
Pen 4,221003_221106,-3,12.599725703350458,6.414343951683909,outbreak
Pen 4,221003_221106,-5,11.271598527305349,7.906810330462939,outbreak
Pen 4,221003_221106,-7,11.96502379469752,7.2004782849284155,outbreak
Pen 4,221003_221106,0,12.30297614639942,5.9661968796129825,outbreak
Pen 4,221226_230126,-1,10.233496796282784,7.405885123623867,outbreak
Pen 4,221226_230126,-3,9.824512673070082,7.980362869050445,outbreak
Pen 4,221226_230126,-5,9.986533171003003,8.169199220709627,outbreak
Pen 4,221226_230126,-7,9.587149566035452,7.895172843533568,outbreak
Pen 4,221226_230126,0,10.482804913344111,7.209063441994566,outbreak
Pen 4,230227_230406,-1,9.984034913897403,7.418632933361738,outbreak
Pen 4,230227_230406,-3,9.22011898234306,8.129517515741057,outbreak
Pen 4,230227_230406,-5,9.451934689657309,8.050935038939038,outbreak
Pen 4,230227_230406,-7,8.777279827501802,8.769619857472243,outbreak
Pen 4,230227_230406,0,10.053501128755736,6.670259130258926,outbreak
Pen 4,230515_230621,-1,14.778145021482912,7.395207402076497,outbreak
Pen 4,230515_230621,-3,14.977462516668608,7.5214377821141545,outbreak
Pen 4,230515_230621,-5,15.925997429302726,6.417995659413606,outbreak
Pen 4,230515_230621,-7,15.39529603207285,6.772957101137988,outbreak
Pen 4,230515_230621,0,14.455676569513015,7.255478082958571,outbreak
Pen 5,220725_220831,-1,15.334680867020774,8.896287211075093,outbreak
Pen 5,220725_220831,-3,14.80123311179411,9.446498170468457,outbreak
Pen 5,220725_220831,-5,14.097129612778332,10.128911000448625,outbreak
Pen 5,220725_220831,-7,13.91988946974503,10.168125934281552,outbreak
Pen 5,220725_220831,0,15.946923131141679,8.044405092766626,outbreak
Pen 5,221004_221104,-1,14.434885374490968,9.962510337620058,outbreak
Pen 5,221004_221104,-3,12.931561338560186,11.285523266125807,outbreak
Pen 5,221004_221104,-5,13.9719389643167,10.177847262402429,outbreak
Pen 5,221004_221104,-7,12.367296077842239,11.761261928940366,outbreak
Pen 5,221004_221104,0,15.389656527230773,8.435050696043454,outbreak
Pen 5,230515_230621,-1,12.297458771993218,11.60276749272623,outbreak
Pen 5,230515_230621,-3,12.467549716263045,11.595381910669694,outbreak
Pen 5,230515_230621,-5,12.680505220816988,11.375795421666425,outbreak
Pen 5,230515_230621,-7,12.506448471240295,11.139615180511479,outbreak
Pen 5,230515_230621,0,12.961371928701576,10.644406349661994,outbreak
Pen 6,221003_221107,-1,9.67458427288612,8.943365743688931,outbreak
Pen 6,221003_221107,-3,10.338780305530031,8.684083436814786,outbreak
Pen 6,221003_221107,-5,10.695294644259706,8.333290767776765,outbreak
Pen 6,221003_221107,-7,9.728015090839913,9.043566383738849,outbreak
Pen 6,221003_221107,0,10.500617457234883,6.866244633894189,outbreak
Pen 6,230515_230622,-1,7.441002632616332,10.595779172699162,outbreak
Pen 6,230515_230622,-3,6.8177486954295246,10.137040338901922,outbreak
Pen 6,230515_230622,-5,6.615445502349427,9.620781862457868,outbreak
Pen 6,230515_230622,-7,6.834996339710632,9.042102000884917,outbreak
Pen 6,230515_230622,0,8.224322177935694,9.875050411971172,outbreak
