Metric,Outbreak_Mean,Outbreak_Std,Control_Mean,Control_Std,P_Value,Is_Significant,Effect_Size
num_pigs_notLying_value_at_removal,8.842452061178752,1.9484591677283813,9.059991031550792,1.5295668855026288,0.46181174183269935,False,0.13558730036814848
num_pigs_notLying_1d_window_avg,9.005900048740049,1.8511823852308633,9.074583635089942,1.548422380466509,0.7274132786987586,False,0.04289925820397534
num_pigs_notLying_3d_window_avg,9.127857036930797,1.6882692970407507,9.131409647624736,1.5896571736925473,0.9915723559412659,False,0.002212162875730665
num_pigs_notLying_5d_window_avg,9.19167187018046,1.5026973166155908,9.18537481878057,1.6026914102639915,0.9019239499159709,False,0.003967855566784565
num_pigs_notLying_7d_window_avg,9.300267307420873,1.4886273196224453,9.213715102629495,1.6012859428631125,0.8464505968765905,False,0.05465232871548215
num_pigs_notLying_1d_window_slope,-0.34110884360618393,0.6873823708084401,-0.030454129125180605,0.5886319996120096,0.13639834880343799,False,0.5129522924026688
num_pigs_notLying_3d_window_slope,-0.08767336297405565,0.42249783541010594,-0.05902481644233934,0.3861026075700772,0.6395851586655481,False,0.0730474247456134
num_pigs_notLying_5d_window_slope,-0.07216298953116354,0.29580839532981534,-0.05394158413582135,0.3112582362053533,0.8354376500173155,False,0.059002792670871385
num_pigs_notLying_7d_window_slope,-0.09608247692435329,0.226666935197429,-0.03164163143181575,0.2579031785800475,0.27973517338607023,False,0.25457196549442607
num_pigs_notLying_abs_change_1d,-0.341108843606184,0.6873823708084402,-0.03045412912518059,0.5886319996120097,0.13639834880343799,False,0.5129522924026688
num_pigs_notLying_abs_change_3d,-0.2953763689951311,1.2323475412068214,-0.1651039582685495,1.1321083538594983,0.4704277430360049,False,0.11339478993144672
num_pigs_notLying_abs_change_5d,-0.517811815833373,1.3391207747609768,-0.23740713199561764,1.4009927959746566,0.32593758898511827,False,0.20155363249560004
num_pigs_notLying_abs_change_7d,-0.7907822140687991,1.5849236621195206,-0.27408849690417086,1.4795251564900906,0.24506981837051922,False,0.3448231674145214
