pen,datespan,reference_date,sample_id,value_at_reference,value_1d_before,abs_change_1d,pct_change_1d,ttest_pvalue_1d,value_3d_before,abs_change_3d,pct_change_3d,ttest_pvalue_3d,value_5d_before,abs_change_5d,pct_change_5d,ttest_pvalue_5d,value_7d_before,abs_change_7d,pct_change_7d,ttest_pvalue_7d,1d_window_avg,1d_window_min,1d_window_max,1d_window_std,1d_window_ci_lower,1d_window_ci_upper,1d_window_slope,1d_window_slope_p_value,1d_window_slope_r_squared,1d_window_slope_std_err,3d_window_avg,3d_window_min,3d_window_max,3d_window_std,3d_window_ci_lower,3d_window_ci_upper,3d_window_slope,3d_window_slope_p_value,3d_window_slope_r_squared,3d_window_slope_std_err,5d_window_avg,5d_window_min,5d_window_max,5d_window_std,5d_window_ci_lower,5d_window_ci_upper,5d_window_slope,5d_window_slope_p_value,5d_window_slope_r_squared,5d_window_slope_std_err,7d_window_avg,7d_window_min,7d_window_max,7d_window_std,7d_window_ci_lower,7d_window_ci_upper,7d_window_slope,7d_window_slope_p_value,7d_window_slope_r_squared,7d_window_slope_std_err
Pen 1,211228_220119,2022-01-14,1,0.8466980784626355,0.8609005301910179,-0.014202451728382415,-1.6497204067502613,1.0,0.8585918575341424,-0.011893779071506905,-1.3852657659327898,1.0,0.8326229838201087,0.014075094642526764,1.6904523314921778,1.0,0.8421130486273599,0.004585029835275534,0.5444672592057693,1.0,0.8535034199158188,0.8466980784626355,0.8603087613690019,0.004184437469422415,0.8517364869368287,0.8552703528948089,-0.014202451728382392,2.229373462400725e-170,0.9999999999999996,6.380975718685028e-11,0.8600664598331265,0.8466980784626355,0.8669016683739623,0.005530873425739221,0.8587667682970445,0.8613661513692085,-0.004625733025102671,3.73083432041076e-13,0.5318942741730517,0.000518669682169882,0.8547224775671072,0.8332330498882982,0.8669016683739623,0.00916618766173962,0.8530656198379879,0.8563793352962265,0.0036762859171092497,3.371837486555179e-12,0.33791226795287743,0.00047372256021112433,0.8491101945524052,0.8326229838201087,0.8669016683739623,0.01189867229182758,0.8472978088833834,0.8509225802214271,0.004668487024397773,6.63374886467862e-38,0.6323354966062872,0.0002762957357926238
Pen 1,211228_220119,2022-01-13,2,0.8609005301910179,0.8669016683739623,-0.006001138182944454,-0.6922513131392077,1.0,0.8472645694566557,0.01363596073436213,1.6094100031949603,1.0,0.8329886674910503,0.027911862699967593,3.350809415455521,1.0,0.8595591056518087,0.0013414245392091573,0.156059604323771,1.0,0.8637760755703455,0.8609005301910179,0.866651620949673,0.001768102293332292,0.8630294714508799,0.8645226796898111,-0.006001138182944397,2.229373462400725e-170,0.9999999999999996,2.69623285909969e-11,0.8599533860824136,0.8477365397932177,0.8669016683739623,0.0054824752196833354,0.8586650675671784,0.8612417045976487,0.0052215557657167315,1.84175618270776e-19,0.6897601715085746,0.00041855315473226926,0.8505814350330972,0.8326229838201087,0.8669016683739623,0.012648619454477896,0.8482951014253624,0.8528677686408321,0.00834766079053573,5.360456248505084e-65,0.9149686624911826,0.00023426649762239122,0.8486772227956084,0.8326229838201087,0.8669016683739623,0.011836812481117169,0.8468742595084852,0.8504801860827317,0.0039012294554136187,4.590603623121802e-23,0.44619603933080443,0.0003373359478653274
Pen 1,211228_220119,2022-01-09,3,0.8326229838201087,0.8329886674910503,-0.0003656836709415856,-0.0439001975912853,1.0,0.8595591056518087,-0.02693612183170002,-3.133713744009983,1.0,0.8424030329996269,-0.009780049179518246,-1.1609703190043688,1.0,0.8146548831062965,0.017968100713812163,2.2056089132246295,1.0,0.8327982072457681,0.8326229838201087,0.8329734306714277,0.00010774058478832716,0.8327527123868225,0.8328437021047138,-0.0003656836709415855,2.229373462400725e-170,0.9999999999999996,1.642968882854729e-12,0.8402105305498473,0.8326229838201087,0.8588321866091233,0.00823522019588865,0.8382753486784709,0.8421457124212237,-0.008852903373063468,8.55230869360036e-34,0.8787647814742455,0.00039302011846640124,0.8441019208000207,0.8326229838201087,0.8595591056518087,0.00858107506153296,0.8425508265976622,0.8456530150023791,-0.004160309013035491,3.7227130678872267e-19,0.49377678135826214,0.0003877843554887839,0.8380448826779363,0.8147399934033833,0.8595591056518087,0.012942968684746372,0.836073431545952,0.8400163338099206,0.0025245144469998753,1.1379386331119477e-07,0.1562716424795333,0.00045528679138764715
Pen 1,211228_220119,2022-01-05,4,0.8485395248445894,0.8424030329996269,0.006136491844962455,0.728450825148581,1.0,0.8146548831062965,0.033884641738292864,4.159386071447826,1.0,0.8000851416956126,0.048454383148976765,6.056153354665213,1.0,0.8023337995783456,0.04620572526624378,5.75891546517503,1.0,0.8455991225022116,0.8426587201598337,0.8485395248445894,0.001807981248445373,0.8448356789768589,0.8463625660275643,0.006136491844962446,3.4444921874999685e-218,1.0,0.0,0.8304678990825544,0.8147399934033833,0.8485395248445894,0.013066488219613377,0.827397424884697,0.8335383732804117,0.01453577220630178,9.100257496303905e-45,0.9410443280422776,0.00043485737961869816,0.8193739380162707,0.7977924441533462,0.8485395248445894,0.017287103964696925,0.8162491632598524,0.8224987127726889,0.011612764053175883,1.3830088558122203e-77,0.9479591078260082,0.00025047948601691444,0.8142710032072925,0.7977924441533462,0.8485395248445894,0.016690541098135756,0.8117287281741984,0.8168132782403866,0.007329578859729546,1.6359058786129555e-58,0.7921537227458698,0.0002914012223325239
Pen 1,211228_220119,2022-01-11,5,0.8585918575341424,0.8472645694566557,0.01132728807748662,1.336924555307526,1.0,0.8329886674910503,0.025603190043092083,3.0736540654518767,1.0,0.8595591056518087,-0.0009672481176663528,-0.11252840104961517,1.0,0.8424030329996269,0.016188824534515422,1.9217433817718212,1.0,0.8531641986636801,0.8477365397932177,0.8585918575341424,0.003337334255018466,0.8517549660009395,0.8545734313264207,0.011327288077486616,3.4444921874999685e-218,1.0,0.0,0.842070405193975,0.8326229838201087,0.8585918575341424,0.009023586407839202,0.83994996634524,0.84419084404271,0.01000010077531574,4.994617037199508e-43,0.9339035310967997,0.0003179753669374541,0.8428089199971397,0.8326229838201087,0.8588321866091233,0.008558398415451732,0.8412619247700278,0.8443559152242516,0.000786365735662834,0.14705133469487944,0.017734830824768004,0.0005387464546858232,0.8448460874766086,0.8326229838201087,0.8595591056518087,0.00836337922873906,0.843572191676556,0.8461199832766613,-0.0007589522195890963,0.01701095055586404,0.033826537694733705,0.000314817720302518
Pen 2,220725_220831,2022-08-01,1,0.7758681239830767,0.7777636554224577,-0.0018955314393810374,-0.24371561028413471,1.0,0.7589261413964734,0.016941982586603288,2.2323625004442382,1.0,0.8009969632914434,-0.025128839308366735,-3.137195327820935,1.0,0.7872203542976122,-0.011352230314535472,-1.4420651412988885,1.0,0.7767763994644468,0.7758681239830767,0.7776846749458168,0.0005584763061410892,0.7765405756026933,0.7770122233262002,-0.0018955314393810164,3.4444921874999685e-218,1.0,0.0,0.7672574652998264,0.756258649816692,0.7777636554224577,0.008711418009921678,0.7652103824282356,0.7693045481714172,0.009179085049864429,5.599752331212145e-30,0.8442531852981506,0.0004712198824546985,0.7748276694048715,0.756258649816692,0.8006754595808443,0.014133976402484831,0.7722728462973985,0.7773824925123445,-0.004840903848071743,8.113445962516912e-09,0.24642631133707155,0.0007793001826685591,0.7817167837627995,0.756258649816692,0.8034834678333397,0.01637011015448538,0.7792233162298987,0.7842102512957003,-0.005828329413526406,2.642070223899969e-28,0.5206875973079764,0.00043402101954232884
Pen 2,220725_220831,2022-08-25,2,0.8418894529756665,0.8541639553960767,-0.012274502420410172,-1.437019478856196,1.0,0.8532916418222571,-0.01140218884659061,-1.336259291400128,1.0,0.8225591619960807,0.01933029097958583,2.350018317549046,1.0,0.855173549602576,-0.013284096626909436,-1.5533802037122104,1.0,0.8477709853854464,0.8418894529756665,0.8536525177952263,0.0036164099571511427,0.846243909388844,0.8492980613820488,-0.012274502420410196,2.229373462400725e-170,0.9999999999999996,5.514773322345157e-11,0.8529075426947319,0.8418894529756665,0.8572056708901279,0.004280172959867698,0.851901751359313,0.8539133340301508,-0.0037819499982224038,2.4945578633506284e-15,0.5936911217488225,0.00037395095060484794,0.8461048041320377,0.8230040190241792,0.8572056708901279,0.010677573506528126,0.844174751983272,0.8480348562808034,0.005073972362883156,3.494632879182794e-18,0.47436642409882085,0.0004916903357109185,0.8437202002199241,0.8225591619960807,0.8572056708901279,0.010996158459653887,0.8420452839336542,0.845395116506194,0.002929994074124115,4.206674043669236e-14,0.29163776524379,0.00035442024123260446
Pen 2,220725_220831,2022-08-14,3,0.8760939561929169,0.8859226608739869,-0.00982870468107,-1.1094314566210233,1.0,0.8942346774449104,-0.018140721251993508,-2.0286309298390046,1.0,0.8953246342242748,-0.019230678031357917,-2.147900023774027,1.0,0.8564760334624736,0.01961792273044327,2.2905396022739763,1.0,0.8808035438525962,0.8760939561929169,0.8855131315122756,0.0028958098876102384,0.8795807505790213,0.8820263371261711,-0.009828704681070013,1.0891006269402914e-173,0.9999999999999998,3.122518776136441e-11,0.8902125899771305,0.8760939561929169,0.8999287239312405,0.007586658147831194,0.8884298127152253,0.8919953672390357,-0.007959706570246312,2.7441391178035986e-29,0.8370371092327115,0.0004197783554186011,0.8940128872609159,0.8760939561929169,0.9046697179714988,0.0077182161897854954,0.8926177613240515,0.8954080131977803,-0.004510135815859264,3.655291510704036e-34,0.717312252272339,0.0002606441517882762,0.8894019177766198,0.8574161699198364,0.9046697179714988,0.011485836415866344,0.8876524145710274,0.8911514209822122,0.0016301393289681503,0.00015638722960726933,0.08274017866242926,0.000421268163552366
Pen 2,220725_220831,2022-08-05,4,0.8614641598414182,0.868426738264844,-0.006962578423425736,-0.8017462057118696,1.0,0.8047331188899145,0.05673104095150372,7.049671452538339,1.0,0.7777636554224577,0.08370050441896049,10.761688828657968,1.0,0.7589261413964734,0.10253801844494481,13.510935103153543,1.0,0.8648003953359765,0.8614641598414182,0.8681366308305345,0.002051369340728112,0.8639341780327646,0.8656666126391884,-0.006962578423425721,3.4444921874999685e-218,1.0,0.0,0.8471871382177372,0.8061548281168436,0.868426738264844,0.019656827444274175,0.8425680102267302,0.8518062662087441,0.020899716131945714,1.4641872948005893e-31,0.8596180999620942,0.0010094717036691634,0.8218479579229426,0.7758681239830767,0.868426738264844,0.03515537195522371,0.8154933586180206,0.8282025572278646,0.023652729007295738,4.379758428081606e-79,0.9509156706656473,0.0004946985994853027,0.8048908265785351,0.756258649816692,0.868426738264844,0.040206033459197224,0.7987667114619509,0.8110149416951192,0.019230192431193407,3.860567595619371e-103,0.9396736693694662,0.0003781764774714558
Pen 2,220725_220831,2022-08-02,5,0.8047331188899145,0.7758681239830767,0.028864994906837804,3.720348086818348,1.0,0.756258649816692,0.048474469073222504,6.409773836632763,1.0,0.7932808742370655,0.011452244652848997,1.4436557119649638,1.0,0.8034834678333397,0.0012496510565748187,0.15552915605651566,1.0,0.7909019754970549,0.7770708321041949,0.8047331188899145,0.008504430682308403,0.787310869368713,0.7944930816253968,0.02886499490683779,2.229373462400725e-170,0.9999999999999996,1.2968664505468255e-10,0.7783791828437321,0.7571546917169323,0.8047331188899145,0.011433359685174253,0.7756924750368513,0.7810658906506128,0.012213612877935136,1.8077377051787699e-32,0.867745151003358,0.0005699081067915045,0.7736124311224916,0.756258649816692,0.8047331188899145,0.012822535654138717,0.7712946608466171,0.775930201398366,0.004917524472515969,4.394447677950513e-11,0.30896416858765063,0.0006770203947258969,0.7810326765579783,0.756258649816692,0.8047331188899145,0.01607390568080036,0.7785843263902793,0.7834810267256772,-0.0028719677295357326,1.4119864424495908e-06,0.1311319553116936,0.0005737836325995641
