pen,datespan,datespan_gt,culprit_removal_date,value_at_removal,effect_size_1d,value_1d_before,abs_change_1d,pct_change_1d,effect_size_3d,value_3d_before,abs_change_3d,pct_change_3d,effect_size_5d,value_5d_before,abs_change_5d,pct_change_5d,effect_size_7d,value_7d_before,abs_change_7d,pct_change_7d,1d_window_avg,1d_window_min,1d_window_max,1d_window_std,1d_window_ci_lower,1d_window_ci_upper,1d_window_slope,1d_window_slope_p_value,1d_window_slope_r_squared,1d_window_slope_std_err,3d_window_avg,3d_window_min,3d_window_max,3d_window_std,3d_window_ci_lower,3d_window_ci_upper,3d_window_slope,3d_window_slope_p_value,3d_window_slope_r_squared,3d_window_slope_std_err,5d_window_avg,5d_window_min,5d_window_max,5d_window_std,5d_window_ci_lower,5d_window_ci_upper,5d_window_slope,5d_window_slope_p_value,5d_window_slope_r_squared,5d_window_slope_std_err,7d_window_avg,7d_window_min,7d_window_max,7d_window_std,7d_window_ci_lower,7d_window_ci_upper,7d_window_slope,7d_window_slope_p_value,7d_window_slope_r_squared,7d_window_slope_std_err,overall_change_rate,change_acceleration,pattern_category
Pen 1,220228_220328,220228_220407,2022-03-23,-0.22470494164629526,-1.7119387006260647,0.05617318090345702,-0.2808781225497523,-200.0,-5.21164163917776,0.5349931021253433,-0.7596980437716386,-200.0,-6.98390948686054,0.7916390902145709,-1.016344031860866,-200.0,-6.714471181402471,0.7423253026587298,-0.967030244305025,-200.0,-0.09011750792453897,-0.22470494164629526,0.04446992579721734,0.08275451047578167,-0.1250616730096551,-0.05517334283942286,-0.2808781225497522,1.928035222289203e-168,0.9999999999999993,1.5455651382263636e-09,0.1867192478456172,-0.22470494164629526,0.527896203077306,0.23343342810238768,0.13186508153412907,0.24157341415710532,-0.2665392523045245,4.912217443323615e-74,0.9913976415075678,0.002967542742986438,0.3856463903379018,-0.22470494164629526,0.7882418324306816,0.30774293183430357,0.33001952843981996,0.4412732522359837,-0.20910612125416866,1.3178507663922035e-91,0.9698849171380494,0.0033920142734723004,0.4958121277370197,-0.22470494164629526,0.7916390902145709,0.3131553541956912,0.448112833042472,0.5435114224315675,-0.143083642786427,3.8160027489647127e-72,0.857536374307251,0.0045264910446822446,-0.13814717775786073,-0.030863902379524383,Sudden-decline
Pen 1,220726_220831,220725_220901,2022-08-31,0.208139488546184,0.03259463117848703,0.20358908414092458,0.004550404405259417,2.2103903916901477,-0.27876539538210504,0.24360638866303333,-0.03546690011684933,-15.702146674123835,-2.5801549066682945,0.5247362068243049,-0.31659671827812086,-86.39847665246218,-2.1200732994396865,0.46907978937555533,-0.26094030082937136,-77.06227785781553,0.20595908643533054,0.20377868432447704,0.208139488546184,0.001340675755041699,0.2053929687138862,0.20652520415677486,0.0045504044052594225,1.0891006269402914e-173,0.9999999999999998,1.445635376735083e-11,0.20451028320749967,0.18480772062940012,0.24115644416163196,0.012882506712481421,0.20148304254424143,0.2075375238707579,-0.004433495121486307,0.010430245449930613,0.09006236394073504,0.0016843461881409707,0.2733893679640659,0.18480772062940012,0.5185014300260361,0.09961337731624104,0.25538349679703753,0.2913952391310942,-0.059528635307210004,2.420078209012636e-37,0.7502040602234411,0.003162189593981344,0.339907438955279,0.18480772062940012,0.5247362068243049,0.13519314821020106,0.31931504693399393,0.360499830976564,-0.061784072349719464,3.088535777876016e-72,0.8578985913185505,0.001951657930277146,-0.03727718583276734,0.014337644307058289,Moderate-decline
Pen 1,221003_221106,221003_221110,2022-10-31,-0.4003189622605503,-0.16324862520696126,-0.356091682382951,-0.04422727987759928,-11.693986643576054,-2.9657097883294465,0.27285897092855566,-0.6731779331891059,-200.0,-4.853495018693595,0.6742736217970305,-1.074592584057581,-200.0,-5.33416932706862,0.7833051030154099,-1.1836240652759602,-200.0,-0.3791267239858673,-0.4003189622605503,-0.3579344857111843,0.013030587297869083,-0.38462905843355893,-0.3736243895381756,-0.04422727987759928,2.229373462400725e-170,0.9999999999999996,1.9870738123226214e-10,-0.15396535632657507,-0.4003189622605503,0.26032110336253234,0.21933492371603944,-0.20550653653046602,-0.1024241761226841,-0.2450531016224718,4.953368138236164e-47,0.949197222285256,0.006776051275317291,0.11533751821718899,-0.4003189622605503,0.6700697279275419,0.3798967067803816,0.04666831591366827,0.1840067205207097,-0.2598766974383808,2.635515675917599e-106,0.9830294015053849,0.0031433421851998202,0.2937028245036463,-0.4003189622605503,0.7820304865241599,0.4279693644268619,0.2285152536685057,0.35889039533878697,-0.20519958379328912,4.961708653197628e-106,0.9443214277255155,0.0038672883474177057,-0.16908915218228002,-0.009963379457295668,Gradual-decline
Pen 1,221219_230125,221219_230126,2023-01-18,-0.43120116234286937,0.09101252249555213,-0.4577251763019446,0.02652401395907522,5.967651717804112,0.13183438385701143,-0.46494597082019357,0.033744808477324195,7.531086632664368,-1.841819211888201,-0.016292651162847487,-0.41490851118002187,-185.43653505713604,-3.2568582761118776,0.28949858232929165,-0.720699744672161,-200.0,-0.44391058569825964,-0.4566200090536498,-0.43120116234286937,0.007814712556145307,-0.4472104494045961,-0.4406107219919232,0.02652401395907521,4.564626100491149e-167,0.9999999999999991,1.6853030850592396e-10,-0.4684292197995339,-0.5001919333584031,-0.43120116234286937,0.020368257280568253,-0.47321552560597313,-0.46364291399309465,0.018759104249458054,2.1244974344937373e-17,0.64501241912082,0.0016633575676162848,-0.3925627099995289,-0.5001919333584031,-0.028428775508061936,0.12546605230231436,-0.4152416476528433,-0.3698837723462145,-0.06479399603453802,8.657279210298048e-23,0.5602475292788925,0.00528454901551413,-0.23039083745032074,-0.5001919333584031,0.2865963652722349,0.2825626774082025,-0.27343030728148904,-0.18735136761915244,-0.12652992020415693,1.9031680054439534e-64,0.8236621915265611,0.00454398976132176,-0.10295710638173729,0.03632225611340375,Erratic-decline
Pen 1,230227_230406,230227_230406,2023-04-03,-0.2112184930330244,-0.8271516624338429,-0.06455044567593597,-0.14666804735708844,-106.3702446285136,-4.102767647110051,0.46926427665730186,-0.6804827696903263,-200.0,-5.005366599347151,0.6260999207348611,-0.8373184137678855,-200.0,-5.153779519306319,0.6593762499497684,-0.8705947429827928,-200.0,-0.14094005367441953,-0.2112184930330244,-0.07066161431581466,0.043212487862327884,-0.15918708698919787,-0.12269302035964118,-0.14666804735708838,1.0891006269402914e-173,0.9999999999999998,4.659553283901489e-10,0.10142200010520108,-0.2112184930330244,0.4602936934027455,0.2162865905957444,0.050597143065960457,0.1522468571444417,-0.24657222526407657,2.458157655314945e-69,0.9882816844806881,0.0032091303280970115,0.2948750435235891,-0.2112184930330244,0.6260830293649867,0.29257763978537155,0.24198942283427122,0.347760664212907,-0.19772183595458398,6.175295646825006e-84,0.9593783011413368,0.003745395860738072,0.392394650588589,-0.2112184930330244,0.6581665107026325,0.29145174692005127,0.3480012127012302,0.43678808847594786,-0.13214048153825902,5.918059215557318e-69,0.8443659305085566,0.0044032042057086185,-0.1243706775689704,-0.028607935931454387,Sudden-decline
Pen 1,230515_230620,230515_230622,2023-06-20,-0.0960237099548096,-0.13559325731716906,-0.06706259897438298,-0.028961110980426627,-35.516299523341004,-1.9648920345652665,0.25527932645039003,-0.35130303640519966,-200.00000000000003,-4.341468903478242,0.6335634486431948,-0.7295871585980044,-200.0,-4.88764187200817,0.7172730136029498,-0.8132967235577594,-200.0,-0.08214651094335518,-0.0960237099548096,-0.06826931193190075,0.008532749152064938,-0.0857495749127433,-0.07854344697396705,-0.02896111098042662,2.229373462400725e-170,0.9999999999999996,1.30118481996272e-10,0.01837060611825518,-0.0960237099548096,0.24672041377911544,0.10491919009286567,-0.006284194821807025,0.04302540705831739,-0.11542842492767595,3.3967044490869397e-40,0.9203802849459543,0.004057797828567786,0.1931881009509939,-0.0960237099548096,0.6269269807024684,0.24016722822598416,0.14977605844739825,0.23660014345458955,-0.16296721533904243,1.882036031892076e-89,0.9672436439508003,0.0027608263438085997,0.33047569941205446,-0.0960237099548096,0.7154581009226741,0.29777643356982897,0.28511889593532785,0.37583250288878106,-0.14441954867985415,5.092118509452629e-124,0.9661923077066625,0.002096756099819299,-0.11618524622253705,0.0072477809380445506,Gradual-decline
Pen 2,211227_220119,211213_220120,2022-01-19,0.6184956973730467,0.3455853056277586,0.6039261483338016,0.014569549039245011,2.3837186958680983,0.11823286645589544,0.6139387394249081,0.004556957948138596,0.7395051309955668,-1.495841774055497,0.6741180001693712,-0.05562230279632452,-8.606175673687574,-3.076408789264034,0.734206969408088,-0.11571127203504139,-17.108160555399174,0.6115144551250752,0.6045332128771035,0.6184956973730467,0.004292594551866708,0.6097018514156037,0.6133270588345466,0.014569549039245013,3.4444921874999685e-218,1.0,0.0,0.6054749489835355,0.5961865435939077,0.6184956973730467,0.006196366142533324,0.6040188743258805,0.6069310236411904,0.003200945574077795,7.169653957180923e-05,0.20292430270334919,0.0007582493079242936,0.6210485172612115,0.5961865435939077,0.6729482128355289,0.022629520541392112,0.6169580603123787,0.6251389742100443,-0.0124514929651467,1.1654662182862222e-27,0.6359969558651165,0.0008671723328526706,0.6457983586636544,0.5961865435939077,0.7332998162276094,0.044665892769583666,0.6389949253087195,0.6526017920185894,-0.020397559399959773,6.438389732948431e-72,0.8566366121734705,0.0006476568662719933,-0.016530181719291628,0.005899626243509392,Gradual-decline
Pen 2,220228_220331,220228_220407,2022-03-31,0.5654939434814676,-0.32115777664889433,0.5960409056973818,-0.03054696221591413,-5.259758196236539,-0.8469159627030627,0.6442470335079701,-0.07875309002650244,-13.019826809948594,-1.5231787290176004,0.7044553657808382,-0.13896142229937058,-21.884562050762664,-2.4677776139705956,0.7923386304036334,-0.22684468692216575,-33.41276255777338,0.5801310295432599,0.5654939434814676,0.594768115605052,0.008999985053134223,0.5763306691562289,0.5839313899302909,-0.030546962215914127,1.928035222289203e-168,0.9999999999999993,1.6808827775923366e-10,0.6226599818355988,0.5654939434814676,0.6687092406902478,0.034986029162789756,0.614438668042304,0.6308812956288936,-0.037077419256898586,5.736193561394489e-31,0.8540461024878174,0.0018320092774632474,0.6402019956627022,0.5654939434814676,0.7026002744323865,0.03634450309697995,0.6336324519124052,0.6467715394129991,-0.022535986975072822,4.658324521772581e-44,0.8076786104876936,0.0010123485904227597,0.6689793803921041,0.5654939434814676,0.789961170290369,0.0566532921883813,0.6603500466020096,0.6776087141821987,-0.026846883192869698,4.5373919171736974e-94,0.9224220984403491,0.0006042880330464416,-0.03240638384602368,-0.002557634016007222,Gradual-decline
Pen 2,221003_221106,221003_221110,2022-11-06,-0.3033129465318558,-1.5611104811407677,-0.003053057480871905,-0.3002598890509839,-196.01384299709036,-5.6968735322277295,0.6431513049508067,-0.9464642514826626,-200.0,-6.2644520758246545,0.7321431073427194,-1.0354560538745752,-200.0,-6.470640562570307,0.7668546847605721,-1.0701676312924278,-200.0,-0.15943841636159267,-0.3033129465318558,-0.015563886191329566,0.08846491819427962,-0.1967938751498709,-0.12208295757331446,-0.3002598890509838,1.928035222289203e-168,0.9999999999999993,1.6522156040925366e-09,0.119834915498509,-0.3033129465318558,0.6252015268281125,0.2564415145945133,0.05957411392827553,0.18009571706874247,-0.2920352606928457,8.416481120073267e-67,0.9861558249030963,0.004135681083462305,0.34948791726281037,-0.3033129465318558,0.730893045768228,0.34538448465189003,0.28705706006991333,0.4119187744557074,-0.23130916310651828,6.787472727692869e-75,0.942199594243311,0.005274069163645177,0.46369794526479746,-0.3033129465318558,0.7661386684101631,0.343274422876444,0.4114109648938593,0.5159849256357356,-0.1546252227354313,1.6689215975904868e-66,0.833431751710057,0.005365218117661513,-0.15288109018463253,-0.034352509489353596,Sudden-decline
Pen 2,221219_230125,221219_230126,2023-01-25,0.4366009559994477,-0.20544918435287307,0.45827320063716187,-0.021672244637714166,-4.8436407459054225,-0.2628720702086458,0.4630974091249442,-0.026496453125496477,-5.890074752293918,-0.32755446712536923,0.4670712172918197,-0.030470261292372014,-6.743653770237535,-1.6505838100505517,0.5814319245212701,-0.14483096852182242,-28.45310230996512,0.4469855732216858,0.4366009559994477,0.4573701904439238,0.006385246311192284,0.44428932017246103,0.4496818262709106,-0.021672244637714163,1.0891006269402914e-173,0.9999999999999998,6.885138275913443e-11,0.4586916342394675,0.4366009559994477,0.4685045289591592,0.009365964156047424,0.4564907405642998,0.46089252791463525,-0.009393922548952148,1.0566584284607471e-23,0.7649632908685999,0.0006223654950969729,0.454408104423437,0.4309640938605437,0.4685045289591592,0.01092342888924632,0.45243361205523275,0.4563825967916412,0.0009966485912513352,0.149926550790038,0.017487552437011077,0.0006877103639438803,0.47233820581252983,0.4309640938605437,0.5785580052661308,0.03472726319995171,0.46704860772929063,0.47762780389576903,-0.011939328933452025,9.743438507380373e-26,0.4855243040021843,0.0009538999320165745,-0.020690138360260346,0.0006363515961249691,Gradual-decline
