pen,datespan,datespan_gt,culprit_removal_date,value_at_removal,metric,effect_size_1d,value_1d_before,abs_change_1d,pct_change_1d,effect_size_3d,value_3d_before,abs_change_3d,pct_change_3d,effect_size_5d,value_5d_before,abs_change_5d,pct_change_5d,effect_size_7d,value_7d_before,abs_change_7d,pct_change_7d,1d_window_avg,1d_window_min,1d_window_max,1d_window_std,1d_window_ci_lower,1d_window_ci_upper,1d_window_slope,1d_window_slope_p_value,1d_window_slope_r_squared,1d_window_slope_std_err,3d_window_avg,3d_window_min,3d_window_max,3d_window_std,3d_window_ci_lower,3d_window_ci_upper,3d_window_slope,3d_window_slope_p_value,3d_window_slope_r_squared,3d_window_slope_std_err,5d_window_avg,5d_window_min,5d_window_max,5d_window_std,5d_window_ci_lower,5d_window_ci_upper,5d_window_slope,5d_window_slope_p_value,5d_window_slope_r_squared,5d_window_slope_std_err,7d_window_avg,7d_window_min,7d_window_max,7d_window_std,7d_window_ci_lower,7d_window_ci_upper,7d_window_slope,7d_window_slope_p_value,7d_window_slope_r_squared,7d_window_slope_std_err
Pen 1,220228_220328,220228_220407,2022-03-23,12.792588837852321,num_pigs_notLying,0.5975423318156492,12.04411037125349,0.7484784665988311,6.027197578045464,1.446745844691359,10.941167088916865,1.851421748935456,15.601590870387664,1.4218198343885273,10.93401622678718,1.8585726110651404,15.666570130886775,0.8830213305197985,11.600679258340222,1.1919095795120995,9.772446847318013,12.433942905940379,12.075296974028442,12.792588837852321,0.22052258304339253,12.34082438584328,12.527061426037477,0.7484784665988304,2.229373462400725e-170,0.9999999999999996,3.3628158100205086e-09,11.810573662029917,10.963708517087642,12.792588837852321,0.5304495663693813,11.685924125029072,11.935223199030762,0.6067949423724541,1.8748246442944526e-82,0.9950555680167094,0.005112431106984901,11.319953771185924,10.230307235693468,12.792588837852321,0.7408594422872373,11.186037825054003,11.453869717317845,0.48596579057681094,7.536470632355672e-62,0.9038630708683488,0.014590107641593868,11.289715636467122,10.230307235693468,12.792588837852321,0.6356683606437504,11.192891705290142,11.386539567644101,0.18790508461161778,9.604048697250578e-18,0.3589286534066831,0.019490976875630346
Pen 1,220726_220831,220725_220901,2022-08-31,5.8601478774746045,num_pigs_notLying,-0.18218951249978138,6.089669493175944,-0.22952161570133978,-3.841424660849768,-0.964235052545263,7.082746095926976,-1.2225982184523714,-18.89219244111686,-0.81550596682275,6.907199448969217,-1.0470515714946123,-16.402022201212485,-0.45333233354548974,6.445464420615003,-0.5853165431403982,-9.513001530712389,5.970126984998163,5.8601478774746045,6.080106092521722,0.06762345453804583,5.941572104479658,5.998681865516668,-0.22952161570133953,1.928035222289203e-168,0.9999999999999993,1.2629698763190203e-09,6.442697355328189,5.8601478774746045,7.070650274526918,0.4172516135224891,6.344648033138308,6.54074667751807,-0.4725923404325088,3.9955133002596766e-58,0.9755037304204126,0.008951033192873568,6.678270870274543,5.8601478774746045,7.082746095926976,0.43469951999911693,6.599695645095454,6.756846095453631,-0.2662159366476875,1.5339907355005016e-41,0.7878665573422486,0.012716607987331284,6.658466139967451,5.8601478774746045,7.082746095926976,0.37608793496278675,6.601181060850957,6.715751219083945,-0.07940064309701261,7.236988629231028e-09,0.18308868023724598,0.013017473009496641
Pen 1,221003_221106,221003_221110,2022-10-31,9.643158943241373,num_pigs_notLying,-0.23559799784838414,9.878955631876103,-0.23579668863473024,-2.4156879904318593,-0.30258614539328116,9.943700584850511,-0.3005416416091382,-3.068808873398975,-0.9175449244879778,10.568624839226798,-0.9254658959854254,-9.157686485724039,-1.8449326174443528,11.536940524205596,-1.893781580964223,-17.882650493449244,9.756144856545514,9.643158943241373,9.869130769849656,0.06947226563122955,9.726809291570296,9.785480421520733,-0.23579668863473055,3.4444921874999685e-218,1.0,0.0,9.58414569731439,9.086312980221317,9.907976101324294,0.2343143002520797,9.529084536195898,9.639206858432884,0.1040194699785007,0.0007813831367021124,0.1498591659485575,0.029612113091217626,9.84266388496534,9.086312980221317,10.55400459076503,0.3832982421765086,9.773379829418582,9.911947940512098,-0.1835940222875107,1.4704812251215784e-18,0.48195479473454217,0.017522586385069497,10.217494046344234,9.086312980221317,11.526090063251354,0.6945053307150167,10.111708167249832,10.323279925438635,-0.3078520482977265,3.3149693624339086e-61,0.8070959812320792,0.011681431020228145
Pen 1,221219_230125,221219_230126,2023-01-18,9.039105898363038,num_pigs_notLying,-0.32293523846577954,9.285465477742267,-0.24635957937922903,-2.6888441134342123,-0.0037466115212932785,9.041929056463093,-0.0028231581000550676,-0.031227837423117414,0.18723286872736108,8.90519011202183,0.13391578634120904,1.4925721941246202,-0.48826689191460937,9.367343872536052,-0.3282379741730139,-3.5665538793033704,9.157153196815585,9.039105898363038,9.275200495268132,0.07258438716221595,9.12650349817057,9.187802895460601,-0.2463595793792288,2.229373462400725e-170,0.9999999999999996,1.1068613533413943e-09,9.182960222117726,9.039105898363038,9.285465477742267,0.07403538749634113,9.165562758987988,9.200357685247464,0.009203617487059066,0.36471658837712795,0.01175141167369955,0.010087826902993235,9.055791172316555,8.753666882977937,9.285465477742267,0.1735442803354672,9.02442173140728,9.08716061322583,0.0983696774502309,1.4276347375138305e-30,0.6749393859408761,0.006284489911567284,9.049282303082032,8.753666882977937,9.34951210580774,0.1653495992253544,9.024096531370311,9.074468074793753,0.03458905935497887,1.0243363014022863e-08,0.1797477516759518,0.005734911084602918
Pen 1,230227_230406,230227_230406,2023-04-03,9.64290024342707,num_pigs_notLying,-0.10824861447063924,9.801737901709165,-0.15883765828209562,-1.6337424959674687,-0.32950268817704537,10.1329783553225,-0.49007811189543027,-4.956322010658155,-0.5039433262356355,10.401554172104229,-0.758653928677159,-7.569713926354828,-0.14450447689565513,9.863116114806147,-0.22021587137907694,-2.257927680719153,9.71900995468724,9.64290024342707,9.79511966594741,0.046797993866275554,9.699248894970815,9.738771014403664,-0.15883765828209548,1.0891006269402914e-173,0.9999999999999998,5.046174307166102e-10,9.800576653797753,9.64290024342707,10.115865203891303,0.11439386038934865,9.77369541449188,9.827457893103626,-0.107053071958033,2.4908359037732076e-18,0.6659543547014078,0.009062140471913801,9.913289008559893,9.64290024342707,10.380782921066933,0.18306002598552323,9.880199524671962,9.946378492447824,-0.11214193774590557,1.3452330678290215e-41,0.7883370899893426,0.00534925687975067,9.971322428270138,9.64290024342707,10.401554172104229,0.19850516226683856,9.94108645718903,10.001558399351246,-0.07009053151308393,1.1600620812768804e-27,0.5121148304100046,0.005309827854183668
Pen 1,230515_230620,230515_230622,2023-06-20,7.511754221323475,num_pigs_notLying,0.17545100103822642,7.168253467912962,0.3435007534105132,4.679844325454574,0.143218660567257,7.235870171978125,0.2758840493453496,3.7414032523184777,-0.20025371730156447,7.890401232094523,-0.378647010771048,-4.91680546812063,-0.23683776870006218,7.9515111688939095,-0.4397569475704346,-5.687763049693768,7.34716011031427,7.182565999305067,7.511754221323475,0.10120488003302583,7.304425037446811,7.389895183181729,0.34350075341051317,3.4444921874999685e-218,1.0,0.0,7.291884551107374,7.168253467912962,7.511754221323475,0.07796740244059573,7.273563109764898,7.310205992449851,0.038380381082067164,0.0001681786626346188,0.1842655132505119,0.009651896220860379,7.356979743036795,7.168253467912962,7.868290573406332,0.15895441863050422,7.328247529950549,7.38571195612304,-0.0591132027991686,2.139259474365129e-10,0.2905271058039889,0.008503898377967263,7.47369838614074,7.168253467912962,7.93733599148126,0.23367422141604346,7.438105523363507,7.509291248917972,-0.09349157370199453,1.7972381561158748e-40,0.6575300242815549,0.005236871088262724
Pen 2,211227_220119,211213_220120,2022-01-19,7.569003267973857,num_pigs_notLying,-0.8755400164002033,8.483542565684575,-0.9145392977107178,-11.39432096550247,-1.1622438068645207,8.774141694224879,-1.2051384262510219,-14.747937793349754,-0.4356795441080504,7.996176897599928,-0.4271736296260711,-5.4888363010518875,-1.4571309555699816,8.8903381176435,-1.3213348496696433,-16.05574389293928,8.007220014793576,7.569003267973857,8.445436761613294,0.26944872461367975,7.893441797017399,8.120998232569754,-0.9145392977107176,3.4444921874999685e-218,1.0,0.0,8.405831305680481,7.569003267973857,8.766364370332358,0.32992606120742746,8.328302482242098,8.483360129118864,-0.342270014728264,1.2319441946423845e-27,0.818382039445537,0.019271751455329077,8.31776126933052,7.569003267973857,8.774141694224879,0.3227762526228777,8.259417021026872,8.376105517634167,0.015209916435143378,0.4585722007336106,0.004664589093414481,0.020453322005364254,8.338905100667168,7.569003267973857,8.868194871456136,0.30732845855465113,8.292093348876206,8.38571685245813,-0.017764770088796452,0.13044474117723426,0.013724795555837775,0.011688308415595261
Pen 2,220228_220331,220228_220407,2022-03-31,10.096720898530112,num_pigs_notLying,0.5081213429393281,9.391858724286475,0.7048621742436367,7.233592061459495,1.0975477382467256,8.551404982402216,1.5453159161278958,16.573417897269543,1.090136297898254,8.53268110907206,1.564039789458052,16.791089577859857,-0.3652248117180063,10.626359381927891,-0.529638483397779,-5.111580674589495,9.75897444003837,9.421227981546627,10.096720898530112,0.2076720096706539,9.671282241174927,9.846666638901814,0.7048621742436367,3.4444921874999685e-218,1.0,0.0,8.94335357463332,8.081944977561323,10.096720898530112,0.6641285839340403,8.787291008566939,9.099416140699702,0.7026389324317868,1.1399202219735946e-30,0.8511609717514146,0.035118483355217174,8.854190851733108,8.081944977561323,10.096720898530112,0.5286315150788303,8.758636708185477,8.949744995280739,0.21583895125486677,1.0975807424791807e-12,0.35020023236978615,0.027065769528123562,9.132755237487357,8.081944977561323,10.605362343330777,0.7139486862526992,9.024007779313381,9.241502695661334,-0.11670189429027308,1.152144360794244e-05,0.10975241122694053,0.025797179726048385
Pen 2,221003_221106,221003_221110,2022-11-06,6.520615524210312,num_pigs_notLying,0.09338387493754759,6.408635773403341,0.11197975080697109,1.7321923478684207,-0.4175062368762536,7.005809421154582,-0.48519389694426973,-7.1740152908700585,-2.003533871157214,8.86265215514962,-2.342036630939308,-30.449143572814116,-1.5675863699909438,8.382343158125549,-1.8617276339152369,-24.984671481668943,6.466958560281971,6.413301596353631,6.520615524210312,0.03299235047966214,6.453027112496478,6.480890008067464,0.11197975080697123,2.229373462400725e-170,0.9999999999999996,5.031103675260068e-10,6.679401489328318,6.408635773403341,7.00042004644337,0.21365814620469173,6.629194286439724,6.729608692216911,-0.22753113808256265,7.308511078818992e-32,0.8623714962043276,0.010864226633988781,7.305117335083245,6.408635773403341,8.851368133806055,0.8689150223063894,7.148054374582722,7.462180295583767,-0.5603999586840204,7.235222757142813e-55,0.8737847581647679,0.019606982463436062,7.714840403273981,6.408635773403341,8.86265215514962,0.9831579840742071,7.5650874394963035,7.864593367051659,-0.4496439080931884,1.4570101591838788e-72,0.8591778332893343,0.0141289096847322
Pen 2,221219_230125,221219_230126,2023-01-25,6.428847859232865,num_pigs_notLying,-0.30285979310157235,6.562735103465546,-0.13388724423268172,-2.0611382710959916,-2.181148395712585,7.3800335503552335,-0.9511856911223688,-13.776433628605426,-1.3584959606691,7.021333621678458,-0.5924857624455937,-8.810078336659732,-2.4056159792518494,7.469698244435942,-1.0408503852030773,-14.97783116938143,6.493002163761024,6.428847859232865,6.557156468289184,0.03944690762971195,6.47634519552588,6.509659131996168,-0.13388724423268164,3.4444921874999685e-218,1.0,0.0,6.791884793620598,6.428847859232865,7.361211108305734,0.28856835899915056,6.7240745537357185,6.859695033505478,-0.32489766052207797,3.047532373933375e-52,0.9639341705225858,0.00751141641156999,6.924947267488704,6.428847859232865,7.3800335503552335,0.28616325204012577,6.873221095886124,6.976673439091283,-0.1541871138582766,7.113411360251596e-26,0.609861643876635,0.01135274127029757,6.964485574735291,6.428847859232865,7.445564471013074,0.2639126397528752,6.924286847143612,7.004684302326971,-0.08536459404879272,5.296018912422669e-22,0.4297614282016356,0.007631999151004377
