pen,datespan,datespan_gt,culprit_removal_date,value_at_removal,metric,effect_size_1d,value_1d_before,abs_change_1d,pct_change_1d,effect_size_3d,value_3d_before,abs_change_3d,pct_change_3d,effect_size_5d,value_5d_before,abs_change_5d,pct_change_5d,effect_size_7d,value_7d_before,abs_change_7d,pct_change_7d,1d_window_avg,1d_window_min,1d_window_max,1d_window_std,1d_window_ci_lower,1d_window_ci_upper,1d_window_slope,1d_window_slope_p_value,1d_window_slope_r_squared,1d_window_slope_std_err,3d_window_avg,3d_window_min,3d_window_max,3d_window_std,3d_window_ci_lower,3d_window_ci_upper,3d_window_slope,3d_window_slope_p_value,3d_window_slope_r_squared,3d_window_slope_std_err,5d_window_avg,5d_window_min,5d_window_max,5d_window_std,5d_window_ci_lower,5d_window_ci_upper,5d_window_slope,5d_window_slope_p_value,5d_window_slope_r_squared,5d_window_slope_std_err,7d_window_avg,7d_window_min,7d_window_max,7d_window_std,7d_window_ci_lower,7d_window_ci_upper,7d_window_slope,7d_window_slope_p_value,7d_window_slope_r_squared,7d_window_slope_std_err
Pen 1,220228_220328,220228_220407,2022-03-23,0.7388929984997956,activity,1.4096097781773613,0.6497067713851579,0.08918622711463775,12.845490694849662,3.135306028618277,0.5393244545466045,0.19956854395319112,31.22607088137556,3.439537219311265,0.5376711107190376,0.201221887780758,31.525543657010935,2.1525545960627084,0.6178020953387541,0.12109090316104154,17.850864753764885,0.6961579313406983,0.6534228641816011,0.7388929984997956,0.026276744158834943,0.6850622354021136,0.7072536272792829,0.08918622711463767,2.229373462400725e-170,0.9999999999999996,4.007020481698544e-10,0.6231556600831689,0.5408731774547512,0.7388929984997956,0.06036868573675238,0.6089697144183633,0.6373416057479745,0.06849155862820704,2.4584319755156864e-60,0.9788187580664447,0.0012042387503352467,0.5802402426432661,0.49320200567092903,0.7388929984997956,0.07092110084947671,0.5674207174015363,0.5930597678849959,0.04583708212948045,1.2402478221547582e-55,0.8774974803157155,0.0015766145560188734,0.5774391093689922,0.49320200567092903,0.7388929984997956,0.061306524214923115,0.5681010031349898,0.5867772156029947,0.017494273932439082,2.2202107076286462e-16,0.3344804302907561,0.001915300566905245
Pen 1,220726_220831,220725_220901,2022-08-31,0.23290006027035412,activity,-0.14494499749580733,0.24787902736566145,-0.014978967095307327,-6.231122559410274,-0.9160646839093782,0.32795977468645204,-0.09505971441609792,-33.89785058272851,-0.5220600536612621,0.28756661717520837,-0.05466655690485425,-21.006746166020218,-0.03787982262173089,0.23681450019161288,-0.0039144399212587555,-1.6667313516570068,0.24007748200352222,0.23290006027035412,0.24725490373669032,0.00441322050344249,0.23821394242190091,0.24194102158514352,-0.014978967095307327,3.4444921874999685e-218,1.0,0.0,0.27713508750154436,0.23290006027035412,0.32700631442358197,0.033016146503129895,0.26937667343904437,0.28489350156404436,-0.03728360512584047,6.884774822527073e-55,0.9696938929640162,0.0007878011778734564,0.29321130935718825,0.23290006027035412,0.32795977468645204,0.03323090444943181,0.2872045721056169,0.2992180466087596,-0.018372407533658975,4.269417955180595e-28,0.642111878607685,0.0012626801599335447,0.28159350034038994,0.23290006027035412,0.32795977468645204,0.03465615718465542,0.2763147330053169,0.286872267675463,0.001024391733921184,0.4404776772728881,0.003588918351703159,0.0013247975208291775
Pen 1,221003_221106,221003_221110,2022-10-31,0.5241849121726849,activity,0.08799204578074696,0.5171294623242825,0.007055449848402451,1.3551046679463652,0.8341938775559631,0.45849856188917126,0.06568635028351366,13.368770721665552,-0.028219627696985536,0.5263728235776897,-0.002187911405004739,-0.41652378171143434,-2.4722733812949502,0.7132164393562203,-0.18903152718353533,-30.552985407680737,0.5208041757869921,0.5174234394012992,0.5241849121726849,0.002078731846719575,0.5199264043108293,0.521681947263155,0.00705544984840246,3.4444921874999685e-218,1.0,0.0,0.48634062941852324,0.4491822232694529,0.5241849121726849,0.029958925294740795,0.47930062711897964,0.49338063171806684,0.03228277533640389,2.4877696985232143e-34,0.8829597255771702,0.0014048147618770767,0.4861956172626581,0.4491822232694529,0.5244795622804026,0.02629650207389991,0.4814423256742909,0.49094890885102527,0.004928453967622631,0.0026894644030184423,0.07378844018431567,0.0016074246887537408,0.5360548432304219,0.4491822232694529,0.7128950777231039,0.08834675551853684,0.5225980146297764,0.5495116718310673,-0.030971653774437606,4.001480863277788e-27,0.5048238196064473,0.002380785699553089
Pen 1,221219_230125,221219_230126,2023-01-18,0.4582349797462677,activity,-0.28403130645737135,0.48202105337789386,-0.02378607363162616,-5.059488648553067,0.39702061804095645,0.4245861512156444,0.03364882853062329,7.623022909286256,1.102870678840523,0.36740425370852264,0.09083072603774506,22.00252176914475,0.19873077450950294,0.44239968209427105,0.01583529765199665,3.516475286357646,0.4696324733614219,0.4582349797462677,0.48102996697657613,0.007008039151135581,0.466673237960085,0.4725917087627588,-0.023786073631626166,2.229373462400725e-170,0.9999999999999996,1.0686771635558151e-10,0.4643041229301418,0.4264275504429309,0.48202105337789386,0.01494494894891675,0.46079223210188813,0.46781601375839543,0.011036810202531852,1.0439462172282483e-09,0.41471515264847464,0.001567123570197976,0.43246269636189777,0.36760468568006677,0.48202105337789386,0.042444124972093634,0.4247905998359609,0.44013479288783464,0.02718779399712052,1.4496882988968305e-52,0.861937267953228,0.0010016900712565468,0.42283232615603544,0.36740425370852264,0.48202105337789386,0.040644408726159396,0.41664143845911544,0.42902321385295544,0.014937691520275555,5.558943661232158e-31,0.5548270287623922,0.0010385203993760334
Pen 1,230227_230406,230227_230406,2023-04-03,0.5036232316139734,activity,-0.24076968134334129,0.5174452469491955,-0.013822015335222093,-2.707363046731638,0.092455865806227,0.4982913342265926,0.0053318973873807685,1.064341725166461,-0.06802356415368806,0.5075801792566715,-0.003956947642698161,-0.7826214983375568,0.5144293753443457,0.4736480039575722,0.029975227656401204,6.134474558410704,0.5102462806287673,0.5036232316139734,0.5168693296435612,0.0040723503221666655,0.5085266779010844,0.5119658833564502,-0.013822015335222095,3.4444921874999685e-218,1.0,0.0,0.503342224884102,0.4915130635872571,0.5174452469491955,0.008217623780687204,0.5014111779675766,0.5052732718006273,0.007080854384923991,2.877438776722332e-14,0.56458644206332,0.0007432285686402116,0.4975281818699937,0.4748719955608236,0.5174452469491955,0.010944865111405955,0.49554981474254617,0.49950654899744124,0.00547467416054342,7.831854717985297e-21,0.5256039399654863,0.0004788048083982109,0.49861599073417584,0.4748719955608236,0.5174452469491955,0.01114135251515541,0.4969189587345756,0.5003130227337761,0.0017094853381273605,4.0821734584179104e-05,0.09670461187127989,0.00040551100012444174
Pen 1,230515_230620,230515_230622,2023-06-20,0.3957797441390515,activity,0.3275645047809384,0.3561405880656609,0.03963915607339058,10.543445728396321,0.6879597935619141,0.31411821930777,0.08166152483128147,23.006552782539078,0.034110245704204095,0.3918388678940334,0.003940876245018099,1.000706734150299,-0.11123868073278963,0.4083850176866652,-0.012605273547613705,-3.13499773827334,0.3767859818538852,0.3577922195687188,0.3957797441390515,0.011678798358336004,0.3718544578138885,0.38171750589388187,0.03963915607339057,4.564626100491149e-167,0.9999999999999991,2.5186230154570103e-10,0.35838605498030796,0.31612859822763517,0.3957797441390515,0.01868614130321702,0.3539950270495651,0.3627770829110508,0.01970661861344042,3.999890021309242e-30,0.8457394581634162,0.0010059403326764494,0.35561729881672427,0.31411821930777,0.3957797441390515,0.02055445598673783,0.35190192547654925,0.3593326721568993,0.003766412360040976,0.0033708513627175116,0.07053532081346287,0.001258635523620763,0.3652337903622404,0.31411821930777,0.4071515922462094,0.023453394959381015,0.3616614088501043,0.36880617187437653,-0.0046926384606261915,4.9541674768305096e-08,0.16444285714776313,0.0008210008804309431
Pen 2,211227_220119,211213_220120,2022-01-19,0.46454916827347303,activity,-0.7134346844427167,0.5397661121823153,-0.07521694390884226,-14.97875126916451,-0.9640918994617925,0.5657451746789111,-0.10119600640543802,-19.644096291056677,-0.2208423404812352,0.48645071855279043,-0.021901550279317394,-4.606004812978185,-1.3700905485901747,0.5890612566995865,-0.1245120884261135,-23.63531823051148,0.5005906205631266,0.46454916827347303,0.5366320728527803,0.02216100462419606,0.49123284900979775,0.5099483921164556,-0.07521694390884223,2.229373462400725e-170,0.9999999999999996,3.3793988664426293e-10,0.5384775590433238,0.46454916827347303,0.5656152775508277,0.0305324910200134,0.531302775406161,0.5456523426804867,-0.03198359186217943,4.8059566930156957e-29,0.8344140739881877,0.0017029390918605531,0.5262377319013763,0.46454916827347303,0.5657451746789111,0.03249160614662524,0.5203646284081713,0.5321108353945814,0.004518371166934593,0.027278157154286265,0.040624154370843754,0.0020213574668413972,0.5255797530619859,0.46454916827347303,0.5858608436640019,0.03183137976788448,0.5207312510525534,0.5304282550714184,0.0008718818589117514,0.4747845626072499,0.0030817443736483943,0.0012171246721161294
Pen 2,220228_220331,220228_220407,2022-03-31,0.8136865569272977,activity,1.0826286995360876,0.7262786586693232,0.08740789825797457,11.351931507636108,2.610946329828966,0.6026432977816739,0.21104325914562383,29.801427745655918,3.1925587593168423,0.55663820206789,0.2570483548594077,37.51641399924679,0.3870013483199029,0.7823672743730379,0.031319282554259864,3.9245897525578375,0.7718036056786849,0.7299206544300721,0.8136865569272977,0.02575279899478234,0.7609291523793588,0.782678058978011,0.08740789825797451,2.229373462400725e-170,0.9999999999999996,3.9271224931595123e-10,0.6692517996705842,0.5689150784224096,0.8136865569272977,0.08371032749033977,0.6495808371033457,0.6889227622378228,0.09081018148345393,5.766159794625401e-36,0.8948755294154095,0.0037201128826435874,0.6410730098063009,0.5591537128401002,0.8136865569272977,0.0741145308800133,0.627676247939733,0.6544697716728688,0.041299596854533605,7.708651947749469e-29,0.6523006082600021,0.0027757661952017417,0.6573867750711943,0.55663820206789,0.8136865569272977,0.07705733912088565,0.6456495313106806,0.6691240188317079,0.0023854084296052796,0.41913149768460345,0.003936314043688384,0.002945149799981298
Pen 2,221003_221106,221003_221110,2022-11-06,0.36545115688895013,activity,-0.026983949185936638,0.3682827436248341,-0.002831586735883962,-0.7718293331959157,-0.8697738545977527,0.45171545907274,-0.08626430218378989,-21.113026523304292,-2.4767831233841435,0.6108362745410445,-0.24538511765209436,-50.26903138406117,-1.8210955171498748,0.5473303025512313,-0.18187914566228114,-39.85163015336213,0.3668079588665612,0.36545115688895013,0.36816476084417227,0.000834264242692271,0.3664556799725935,0.3671602377605289,-0.002831586735883989,1.0891006269402914e-173,0.9999999999999998,8.99577618410455e-12,0.4024644803511811,0.36545115688895013,0.45090750504512694,0.03283546478539724,0.39474852441078695,0.41018043629157525,-0.03644449078365285,1.061592941958152e-43,0.9367615657856596,0.0011317718524276382,0.46885108073315307,0.36545115688895013,0.6107556428015949,0.09173576035898048,0.45226914839700405,0.4854330130693021,-0.060917980754804216,1.1054009785960234e-68,0.9263530923933074,0.0015812242850466954,0.5041958713074454,0.36545115688895013,0.6108362745410445,0.09615582794052195,0.48954957798343907,0.5188421646314517,-0.04311848894239632,6.345996500863998e-65,0.8259772759867351,0.0015361315903330067
Pen 2,221219_230125,221219_230126,2023-01-25,0.37580282525970704,activity,-0.1694917150327335,0.38927653628424913,-0.01347371102454209,-3.522173437629185,-0.8174115179866678,0.43943051000947175,-0.06362768474976471,-15.609686698779495,-0.7975692098302926,0.4368069156865266,-0.061004090426819535,-15.014363562953122,-1.7100428762167692,0.5056716324910583,-0.12986880723135125,-29.46626668292442,0.3822589784589668,0.37580282525970704,0.3887151316582265,0.00396973018050069,0.38058270841672687,0.3839352485012067,-0.013473711024542086,3.4444921874999685e-218,1.0,0.0,0.39925520974578843,0.37580282525970704,0.4378791555125832,0.01724202669713925,0.3952035321104107,0.40330688738116616,-0.019147116616955145,6.152831779403151e-44,0.9377385401468098,0.0005896891395944561,0.4097382582569351,0.37580282525970704,0.43943051000947175,0.019126281240213584,0.40628103830120244,0.4131954782126678,-0.011548924906184567,5.177125334343794e-39,0.7659226747737936,0.0005877434034481453,0.4232702156773089,0.37580282525970704,0.5031184655525887,0.02909503063896181,0.4188385097460493,0.42770192160856846,-0.013277015077168941,1.334833599956577e-71,0.855372957538516,0.00042373408416869636
