pen,datespan,days_before_removal,date,upright_tails,hanging_tails,posture_diff,group,sample_id
Pen 2,220725_220831,6,2022-08-19,0.9186652457442106,0.08133475425578944,0.8373304914884211,control,2
Pen 2,220725_220831,7,2022-08-18,0.9275867748012879,0.07241322519871198,0.855173549602576,control,2
Pen 2,220725_220831,8,2022-08-17,0.9311622823785056,0.06883771762149427,0.8623245647570114,control,2
Pen 2,220725_220831,9,2022-08-16,0.9272766723047248,0.07272332769527519,0.8545533446094495,control,2
Pen 2,220725_220831,10,2022-08-15,0.9325516352735969,0.06744836472640309,0.8651032705471938,control,2
Pen 2,220725_220831,0,2022-08-14,0.9380469780964583,0.06195302190354161,0.8760939561929169,control,3
Pen 2,220725_220831,1,2022-08-13,0.9429613304369934,0.05703866956300662,0.8859226608739869,control,3
Pen 2,220725_220831,2,2022-08-12,0.9499643619656203,0.05003563803437977,0.8999287239312405,control,3
Pen 2,220725_220831,3,2022-08-11,0.9471173387224553,0.05288266127754482,0.8942346774449104,control,3
Pen 2,220725_220831,4,2022-08-10,0.9523348589857493,0.047665141014250643,0.9046697179714988,control,3
Pen 2,220725_220831,5,2022-08-09,0.9476623171121373,0.052337682887862697,0.8953246342242748,control,3
Pen 2,220725_220831,6,2022-08-08,0.9395196542195908,0.06048034578040908,0.8790393084391819,control,3
Pen 2,220725_220831,7,2022-08-07,0.9282380167312367,0.0717619832687632,0.8564760334624736,control,3
Pen 2,220725_220831,8,2022-08-06,0.9147095589541268,0.08529044104587326,0.8294191179082535,control,3
Pen 2,220725_220831,9,2022-08-05,0.930732079920709,0.06926792007929088,0.8614641598414182,control,3
Pen 2,220725_220831,10,2022-08-04,0.934213369132422,0.06578663086757804,0.868426738264844,control,3
Pen 2,220725_220831,0,2022-08-05,0.930732079920709,0.06926792007929088,0.8614641598414182,control,4
Pen 2,220725_220831,1,2022-08-04,0.934213369132422,0.06578663086757804,0.868426738264844,control,4
Pen 2,220725_220831,2,2022-08-03,0.9194270701681059,0.08057292983189412,0.8388541403362119,control,4
Pen 2,220725_220831,3,2022-08-02,0.9023665594449573,0.0976334405550428,0.8047331188899145,control,4
Pen 2,220725_220831,4,2022-08-01,0.8879340619915385,0.11206593800846165,0.7758681239830767,control,4
Pen 2,220725_220831,5,2022-07-31,0.8888818277112289,0.1111181722887712,0.7777636554224577,control,4
