pen,datespan,days_before_removal,date,upright_tails,hanging_tails,posture_diff,group
Pen 1,221003_221106,2,2022-10-29,0.485975074671998,0.5140249253280019,-0.02804985065600385,outbreak
Pen 1,221003_221106,3,2022-10-28,0.6364294854642779,0.3635705145357222,0.27285897092855566,outbreak
Pen 1,221003_221106,4,2022-10-27,0.7866900844646518,0.21330991553534814,0.5733801689293038,outbreak
Pen 1,221003_221106,5,2022-10-26,0.8371368108985152,0.16286318910148467,0.6742736217970305,outbreak
Pen 1,221003_221106,6,2022-10-25,0.8763571536127043,0.12364284638729572,0.7527143072254087,outbreak
Pen 1,221003_221106,7,2022-10-24,0.891652551507705,0.10834744849229504,0.7833051030154099,outbreak
Pen 1,221003_221106,8,2022-10-23,0.892478628028356,0.10752137197164398,0.7849572560567121,outbreak
Pen 1,221003_221106,9,2022-10-22,0.9010409480175818,0.09895905198241817,0.8020818960351636,outbreak
Pen 1,221003_221106,10,2022-10-21,0.9129113837022197,0.08708861629778021,0.8258227674044395,outbreak
Pen 1,221219_230125,0,2023-01-18,0.2843994188285653,0.7156005811714348,-0.43120116234286937,outbreak
Pen 1,221219_230125,1,2023-01-17,0.2711374118490277,0.7288625881509723,-0.4577251763019446,outbreak
Pen 1,221219_230125,2,2023-01-16,0.24990403332079847,0.7500959666792015,-0.5001919333584031,outbreak
Pen 1,221219_230125,3,2023-01-15,0.2675270145899032,0.7324729854100968,-0.46494597082019357,outbreak
Pen 1,221219_230125,4,2023-01-14,0.3462201822760029,0.6537798177239972,-0.3075596354479943,outbreak
Pen 1,221219_230125,5,2023-01-13,0.49185367441857625,0.5081463255814237,-0.016292651162847487,outbreak
Pen 1,221219_230125,6,2023-01-12,0.6099226864799651,0.39007731352003505,0.21984537295992998,outbreak
Pen 1,221219_230125,7,2023-01-11,0.6447492911646457,0.3552507088353542,0.28949858232929165,outbreak
Pen 1,221219_230125,8,2023-01-10,0.6497071470146382,0.3502928529853619,0.29941429402927616,outbreak
Pen 1,221219_230125,9,2023-01-09,0.6534029975180266,0.34659700248197356,0.3068059950360529,outbreak
Pen 1,221219_230125,10,2023-01-08,0.6822049520145922,0.3177950479854077,0.3644099040291846,outbreak
Pen 1,230227_230406,0,2023-04-03,0.3943907534834878,0.6056092465165123,-0.2112184930330244,outbreak
Pen 1,230227_230406,1,2023-04-02,0.46772477716203203,0.532275222837968,-0.06455044567593597,outbreak
Pen 1,230227_230406,2,2023-04-01,0.6269851392739745,0.3730148607260255,0.25397027854794896,outbreak
Pen 1,230227_230406,3,2023-03-31,0.7346321383286508,0.265367861671349,0.46926427665730186,outbreak
Pen 1,230227_230406,4,2023-03-30,0.8128472639289384,0.18715273607106167,0.6256945278578766,outbreak
Pen 1,230227_230406,5,2023-03-29,0.8130499603674307,0.18695003963256948,0.6260999207348611,outbreak
Pen 1,230227_230406,6,2023-03-28,0.8151712540092536,0.18482874599074653,0.630342508018507,outbreak
Pen 1,230227_230406,7,2023-03-27,0.8296881249748842,0.1703118750251158,0.6593762499497684,outbreak
Pen 1,230227_230406,8,2023-03-26,0.8406759446266063,0.15932405537339375,0.6813518892532126,outbreak
Pen 1,230227_230406,9,2023-03-25,0.8398552255933804,0.16014477440661953,0.6797104511867609,outbreak
Pen 1,230227_230406,10,2023-03-24,0.8409816314294662,0.15901836857053375,0.6819632628589325,outbreak
Pen 1,230515_230620,0,2023-06-20,0.4519881450225952,0.5480118549774047,-0.0960237099548096,outbreak
Pen 1,230515_230620,1,2023-06-19,0.46646870051280853,0.5335312994871915,-0.06706259897438298,outbreak
Pen 1,230515_230620,2,2023-06-18,0.5249327111698999,0.47506728883009997,0.04986542233979996,outbreak
Pen 1,230515_230620,3,2023-06-17,0.627639663225195,0.37236033677480496,0.25527932645039003,outbreak
Pen 1,230515_230620,4,2023-06-16,0.7371441090328809,0.26285589096711925,0.47428821806576155,outbreak
Pen 1,230515_230620,5,2023-06-15,0.8167817243215975,0.18321827567840265,0.6335634486431948,outbreak
Pen 1,230515_230620,6,2023-06-14,0.8368575546381672,0.16314244536183278,0.6737151092763346,outbreak
Pen 1,230515_230620,7,2023-06-13,0.8586365068014749,0.14136349319852512,0.7172730136029498,outbreak
