Metric,Outbreak_Mean,Outbreak_Std,Control_Mean,Control_Std,P_Value,Is_Significant,Effect_Size
value_at_removal,-0.03606547010599507,0.36664325427308275,0.7292079847733972,0.11438364696342014,1.4127188433167982e-11,True,4.237027957843085
1d_window_avg,0.022159387597092028,0.36698989199239196,0.7281407342688265,0.11431501158637801,5.662583780122476e-11,True,3.907087001082594
3d_window_avg,0.1621932999313908,0.36375597806457444,0.7241317305727292,0.11531830338393918,7.699507798312887e-10,True,3.1188703453691065
5d_window_avg,0.28753053294844866,0.34250384651538646,0.7185547973870865,0.11596694827364445,1.66150828435257e-08,True,2.4814312338065063
7d_window_avg,0.38343077319294194,0.2971330110407575,0.7139278787664136,0.11529371279955775,4.361035949210549e-07,True,2.0750239024743644
1d_window_slope,-0.1215127465107904,0.12384301118890563,0.002227305400843155,0.03166661070359989,2.2086900881231693e-05,True,2.1505079343258977
3d_window_slope,-0.1404628510879117,0.11761528709300462,0.00409733570734872,0.02402636449081304,2.145398811218596e-07,True,2.776042912888372
5d_window_slope,-0.12668805560657254,0.0890870081057146,0.005406064119472853,0.01936760039263946,7.164396741829485e-11,True,3.309999581156147
7d_window_slope,-0.10623019003081806,0.06205869744303334,0.005823050727630032,0.016904902722581376,5.039012630378678e-12,True,3.8212444817482867
abs_change_1d,-0.12151274651079044,0.12384301118890569,0.0022273054008431527,0.0316666107035999,2.2086900881231693e-05,True,2.150507934325898
abs_change_3d,-0.408306317782033,0.33962277486611875,0.011230833708129878,0.06997084503718205,1.7749330942377812e-07,True,2.78580119983196
abs_change_5d,-0.597769045905601,0.3666410894344907,0.027025941954501524,0.0902295303359866,7.4816992232467e-12,True,3.702571925957127
abs_change_7d,-0.7125874286456652,0.3545782683968346,0.03126222913565142,0.11299676559203892,1.1223608740058541e-11,True,4.093804697838392
