pen,datespan,reference_date,sample_id,value_at_reference,value_1d_before,abs_change_1d,pct_change_1d,ttest_pvalue_1d,value_3d_before,abs_change_3d,pct_change_3d,ttest_pvalue_3d,value_5d_before,abs_change_5d,pct_change_5d,ttest_pvalue_5d,value_7d_before,abs_change_7d,pct_change_7d,ttest_pvalue_7d,1d_window_avg,1d_window_min,1d_window_max,1d_window_std,1d_window_ci_lower,1d_window_ci_upper,1d_window_slope,1d_window_slope_p_value,1d_window_slope_r_squared,1d_window_slope_std_err,3d_window_avg,3d_window_min,3d_window_max,3d_window_std,3d_window_ci_lower,3d_window_ci_upper,3d_window_slope,3d_window_slope_p_value,3d_window_slope_r_squared,3d_window_slope_std_err,5d_window_avg,5d_window_min,5d_window_max,5d_window_std,5d_window_ci_lower,5d_window_ci_upper,5d_window_slope,5d_window_slope_p_value,5d_window_slope_r_squared,5d_window_slope_std_err,7d_window_avg,7d_window_min,7d_window_max,7d_window_std,7d_window_ci_lower,7d_window_ci_upper,7d_window_slope,7d_window_slope_p_value,7d_window_slope_r_squared,7d_window_slope_std_err
Pen 1,211228_220119,2022-01-12,1,0.8669016683739623,0.8585918575341424,0.008309810839819964,0.9678417943172167,1.0,0.8326229838201087,0.03427868455385363,4.116951515868756,1.0,0.8421130486273599,0.024788619746602403,2.943621380408216,1.0,0.8485395248445894,0.018362143529372932,2.1639703268667385,1.0,0.8629198840132153,0.8589380996524681,0.8669016683739623,0.00244830149800591,0.8618860569597704,0.8639537110666602,0.008309810839819973,1.0891006269402914e-173,0.9999999999999998,2.6399755832988546e-11,0.8521109641164575,0.8332330498882982,0.8669016683739623,0.009950376517628999,0.8497727402690977,0.8544491879638173,0.011345598396144383,8.938358684370786e-70,0.988615490843833,0.000145519715294683,0.8452983732761344,0.8326229838201087,0.8669016683739623,0.011522739800365046,0.8432155509291128,0.8473811956231561,0.007060940698526236,1.1761202847148358e-41,0.7888174420708437,0.00033632746266548473,0.8473204819781806,0.8326229838201087,0.8669016683739623,0.010536893966827039,0.8457155200838525,0.8489254438725086,0.0012497833901364674,0.0016968874317901891,0.057787849677058696,0.0003916848623751961
Pen 1,211228_220119,2022-01-08,2,0.8329886674910503,0.8421130486273599,-0.009124381136309645,-1.0835102426191283,1.0,0.8485395248445894,-0.015550857353539116,-1.8326615199671774,1.0,0.8166975302363789,0.01629113725467135,1.9947577470885904,1.0,0.7977924441533462,0.03519622333770411,4.41170176474358,1.0,0.837360766785532,0.8329886674910503,0.8417328660800136,0.0026882965731729776,0.8362255986997006,0.8384959348713633,-0.009124381136309612,1.928035222289203e-168,0.9999999999999993,5.0207987949194705e-11,0.847370758084041,0.8329886674910503,0.8595591056518087,0.008220022864170862,0.8454391474105359,0.8493023687575462,-0.008095685226604882,5.085622804731751e-22,0.7375862354692561,0.0005771537180995763,0.8435594419359812,0.8177685928515143,0.8595591056518087,0.009913268259924527,0.8417675437397608,0.8453513401322016,0.001994888038385194,0.001228605203747254,0.08506799994103131,0.0006022666571081785,0.8342987051344467,0.7984950457763857,0.8595591056518087,0.017180536975590233,0.8316817947568035,0.8369156155120899,0.00661199364285008,1.2710170673347557e-35,0.6083922098515412,0.00041172972512595337
Pen 1,211228_220119,2022-01-13,3,0.8609005301910179,0.8669016683739623,-0.006001138182944454,-0.6922513131392077,1.0,0.8472645694566557,0.01363596073436213,1.6094100031949603,1.0,0.8329886674910503,0.027911862699967593,3.350809415455521,1.0,0.8595591056518087,0.0013414245392091573,0.156059604323771,1.0,0.8637760755703455,0.8609005301910179,0.866651620949673,0.001768102293332292,0.8630294714508799,0.8645226796898111,-0.006001138182944397,2.229373462400725e-170,0.9999999999999996,2.69623285909969e-11,0.8599533860824136,0.8477365397932177,0.8669016683739623,0.0054824752196833354,0.8586650675671784,0.8612417045976487,0.0052215557657167315,1.84175618270776e-19,0.6897601715085746,0.00041855315473226926,0.8505814350330972,0.8326229838201087,0.8669016683739623,0.012648619454477896,0.8482951014253624,0.8528677686408321,0.00834766079053573,5.360456248505084e-65,0.9149686624911826,0.00023426649762239122,0.8486772227956084,0.8326229838201087,0.8669016683739623,0.011836812481117169,0.8468742595084852,0.8504801860827317,0.0039012294554136187,4.590603623121802e-23,0.44619603933080443,0.0003373359478653274
Pen 1,211228_220119,2022-01-02,4,0.8146548831062965,0.7977924441533462,0.016862438952950365,2.113637334688668,1.0,0.8018647087719386,0.012790174334357918,1.5950539030388504,1.0,0.8067572475782802,0.007897635528016367,0.9789358015342843,1.0,,,,,0.806574964441341,0.7984950457763857,0.8146548831062965,0.0049681437212397575,0.8044771013355906,0.8086728275470915,0.016862438952950403,1.0891006269402914e-173,0.9999999999999998,5.35709271471467e-11,0.8021346145844584,0.7977924441533462,0.8146548831062965,0.004351766724463858,0.8011119995391623,0.8031572296297546,0.002978846157562522,3.129953175888714e-08,0.3563006070736492,0.00047855551252799463,0.8025893387230063,0.7977924441533462,0.8146548831062965,0.003536566565809762,0.8019500775748231,0.8032285998711896,0.00016337768468016898,0.4674650200098863,0.0044831646320239345,0.0002241215896566996,0.8026237842507358,0.7977924441533462,0.8146548831062965,0.003542123850013144,0.80198622436809,0.8032613441333816,0.00011870318429415525,0.5937241465546856,0.0023984944941915776,0.00022192083288192932
Pen 1,211228_220119,2022-01-05,5,0.8485395248445894,0.8424030329996269,0.006136491844962455,0.728450825148581,1.0,0.8146548831062965,0.033884641738292864,4.159386071447826,1.0,0.8000851416956126,0.048454383148976765,6.056153354665213,1.0,0.8023337995783456,0.04620572526624378,5.75891546517503,1.0,0.8455991225022116,0.8426587201598337,0.8485395248445894,0.001807981248445373,0.8448356789768589,0.8463625660275643,0.006136491844962446,3.4444921874999685e-218,1.0,0.0,0.8304678990825544,0.8147399934033833,0.8485395248445894,0.013066488219613377,0.827397424884697,0.8335383732804117,0.01453577220630178,9.100257496303905e-45,0.9410443280422776,0.00043485737961869816,0.8193739380162707,0.7977924441533462,0.8485395248445894,0.017287103964696925,0.8162491632598524,0.8224987127726889,0.011612764053175883,1.3830088558122203e-77,0.9479591078260082,0.00025047948601691444,0.8142710032072925,0.7977924441533462,0.8485395248445894,0.016690541098135756,0.8117287281741984,0.8168132782403866,0.007329578859729546,1.6359058786129555e-58,0.7921537227458698,0.0002914012223325239
Pen 1,220726_220831,2022-08-22,1,0.45735965994963096,0.45157370892410337,0.0057859510255275914,1.2812860694022477,1.0,0.5514892677270172,-0.09412960777738627,-17.068257405143136,1.0,0.6740146873018982,-0.21665502735226722,-32.143962354818115,1.0,0.7082351685027536,-0.25087550855312263,-35.42262792223191,1.0,0.4545872250832323,0.4518147902168337,0.45735965994963096,0.0017047021690682579,0.4538673924883152,0.4553070576781494,0.00578595102552759,1.0891006269402914e-173,0.9999999999999998,1.8381609073891653e-11,0.47230667542169996,0.45157370892410337,0.547797335196643,0.02792092162734677,0.46574558050497394,0.478867770338426,-0.026042090977008294,3.963969596467553e-18,0.6615212985285207,0.002226489181051473,0.530657153760331,0.45157370892410337,0.6720210077447318,0.07831084705265229,0.5165018760155112,0.5448124315051507,-0.05158587380536017,5.494533342666689e-64,0.9115502752786295,0.001479270911259584,0.5754072418582408,0.45157370892410337,0.7072317416066134,0.09713302117088528,0.5606121041116687,0.5902023796048128,-0.04659169289707508,1.5529658551316183e-106,0.9450949537567588,0.0008716113067318094
Pen 1,220726_220831,2022-07-31,2,0.5001606020734729,0.4633779141246224,0.03678268794885048,7.9379458596634835,1.0,0.49472146248876486,0.0054391395847080415,1.0994347318884643,1.0,0.45036899308140094,0.04979160899207197,11.055736464315716,1.0,,,,,0.48253556409798204,0.4649105261224912,0.5001606020734729,0.010837203366208699,0.4779594144559562,0.4871117137400079,0.03678268794885048,3.4444921874999685e-218,1.0,0.0,0.4856250776312818,0.4633779141246224,0.5001606020734729,0.010866065364747577,0.4830716774541318,0.4881784778084318,-0.005498672284047335,0.00010447333786933433,0.1947254313096546,0.0013365015648815275,0.4849987918608096,0.4522140137382509,0.5001606020734729,0.01222678251075355,0.48278870847033295,0.4872088752512862,0.0006379404465455068,0.41170014481967177,0.005718719416989761,0.0007743626037877498,0.48471259517668225,0.45036899308140094,0.5001606020734729,0.012576142455454648,0.48244896910160684,0.48697622125175766,0.0009600593086332184,0.22312322659253744,0.012446369814758036,0.0007839413574439645
Pen 1,220726_220831,2022-08-16,3,0.6841529229953891,0.7082351685027536,-0.024082245507364486,-3.4003176597789717,1.0,0.7144172743391005,-0.030264351343711415,-4.236228942211487,1.0,0.6419014109127067,0.04225151208268241,6.582243217475692,1.0,0.6500347550168465,0.03411816797854261,5.2486682773843985,1.0,0.6956923323010012,0.6841529229953891,0.7072317416066134,0.007095299626856941,0.6926962500323277,0.6986884145696748,-0.024082245507364427,3.4444921874999685e-218,1.0,0.0,0.7078186861458101,0.6841529229953891,0.7165662985870925,0.00973657224516625,0.7055307038393261,0.7101066684522941,-0.009940529209772167,1.3015635456341873e-25,0.7926080107815848,0.0006077531880982061,0.70076616665404,0.6443515473351835,0.7165662985870925,0.01785364392006648,0.6975389855168505,0.7039933477912296,0.005205845210531528,1.522018735583757e-06,0.17860419317626836,0.0010277338535601907,0.6826287468162631,0.6287717561477008,0.7165662985870925,0.032599805213921196,0.6776631995406065,0.6875942940919196,0.012919768117693001,3.443875268923424e-39,0.6451663157763391,0.0007436648470840354
Pen 1,220726_220831,2022-08-04,4,0.6145862999296731,0.5858908087897229,0.02869549113995018,4.897754105278862,1.0,0.5258620755907791,0.08872422433889393,16.8721473666297,1.0,0.4633779141246224,0.15120838580505064,32.63176366329452,1.0,0.49472146248876486,0.1198648374409082,24.228752243315164,1.0,0.6008363770917803,0.5870864542538875,0.6145862999296731,0.008454490156057197,0.597266358998202,0.6044063951853585,0.02869549113995018,2.229373462400725e-170,0.9999999999999996,1.2892508681007747e-10,0.567573738879287,0.5266493973889766,0.6145862999296731,0.02826234919916734,0.5609324124166327,0.5742150653419412,0.032234497241335265,1.4894100584218143e-70,0.989183612277412,0.0004028789233182515,0.5397607133865826,0.4649105261224912,0.6145862999296731,0.04215956084243383,0.5321400539787865,0.5473813727943787,0.028976243010831387,1.199823653042841e-126,0.9923271655384546,0.0002345586997781431,0.5247347479612537,0.4633779141246224,0.6145862999296731,0.04320121819166975,0.5181544113644853,0.5313150845580222,0.01938170270858416,4.344590739726331e-65,0.826768888825728,0.0006885869160897022
Pen 1,220726_220831,2022-08-20,5,0.46288288699803487,0.5514892677270172,-0.08860638072898236,-16.066746157033432,1.0,0.6740146873018982,-0.2111318003038633,-31.324510323214245,1.0,0.7082351685027536,-0.24535228150471872,-34.64277014418902,1.0,0.7144172743391005,-0.25153438734106565,-35.20832941417287,1.0,0.5053401110973389,0.46288288699803487,0.547797335196643,0.026105905279108523,0.4943165540909018,0.516363668103776,-0.08860638072898237,3.4444921874999685e-218,1.0,0.0,0.5805686178779647,0.46288288699803487,0.6720210077447318,0.06290823562948396,0.5657859072454994,0.5953513285104299,-0.07171043425052848,4.2003068322756484e-69,0.9881009624363155,0.0009405645130351209,0.6232541555679848,0.46288288699803487,0.7072317416066134,0.07181363292300212,0.6102732984051686,0.636235012730801,-0.04730397410252223,5.78092013796753e-64,0.9114741334892602,0.001357124039837203,0.6491477862823362,0.46288288699803487,0.7165662985870925,0.07323113329424946,0.6379933437316421,0.6603022288330302,-0.03316816146694977,1.477422575250689e-68,0.8426428585965053,0.0011124712890798847
