Metric,Outbreak_Mean,Outbreak_Std,Control_Mean,Control_Std,P_Value,Is_Significant,Effect_Size
value_at_removal,-0.03606547010599507,0.36664325427308275,0.7353612043911311,0.11565442465270563,1.2208643991929289e-11,True,4.255130558629152
1d_window_avg,0.022159387597092028,0.36698989199239196,0.7362722291342935,0.11367453934182632,3.8766250318547576e-11,True,3.9595243209015716
3d_window_avg,0.1621932999313908,0.36375597806457444,0.738665070134708,0.11037988477450027,3.594005484926063e-10,True,3.246636645573969
5d_window_avg,0.28753053294844866,0.34250384651538646,0.7370791112696934,0.10870366225106368,4.969063716102285e-09,True,2.6488731188694055
7d_window_avg,0.38343077319294194,0.2971330110407575,0.7341767876193294,0.1073807938719607,1.2579967644737055e-07,True,2.2692680478802654
1d_window_slope,-0.1215127465107904,0.12384301118890563,-0.0019012690292086465,0.02460215842561426,6.436338332965485e-05,True,2.1920913937628703
3d_window_slope,-0.1404628510879117,0.11761528709300462,-0.002041874372974355,0.021927849366197374,1.2454220750954664e-06,True,2.698714129917807
5d_window_slope,-0.12668805560657254,0.0890870081057146,0.0010436717427370508,0.020612868677328654,2.0813722317153397e-10,True,3.1595225971965966
7d_window_slope,-0.10623019003081806,0.06205869744303334,0.0028231690619715914,0.017427223002047992,6.453393729966342e-12,True,3.686828915925012
abs_change_1d,-0.12151274651079044,0.12384301118890569,-0.0019012690292086467,0.024602158425614265,6.436338332965485e-05,True,2.19209139376287
abs_change_3d,-0.408306317782033,0.33962277486611875,-0.004259447791229162,0.0650992184351908,5.436443134439148e-07,True,2.716204758671467
abs_change_5d,-0.597769045905601,0.3666410894344907,0.006496817781777424,0.09567257109038854,1.1073960395719556e-11,True,3.5287002282500493
abs_change_7d,-0.7125874286456652,0.3545782683968346,0.010803185213669474,0.11071583657257371,7.858505374797097e-12,True,4.052944193575807
